,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree,influences
2647,0,Non-White,0,0,13,1,21,0.0,118.0,False,-3.5429817e-05
96,1,Non-White,1,0,0,0,5,0.0,0.0,False,-0.00011411309
2648,1,Non-White,1,0,0,0,5,0.0,0.0,False,-0.00011411309
2020,0,Non-White,0,0,0,0,3,1.0,2.0,True,-0.00020553172
4188,1,Non-White,0,0,0,0,3,1.0,2.0,True,-0.00020553172
2485,1,Non-White,0,0,0,0,1,28.0,13.0,False,0.0003040135
2706,0,Non-White,0,0,0,0,3,1.0,3.0,True,0.00075390935
4094,1,White,1,0,0,0,5,0.0,1.0,False,0.0008455664
5815,1,Non-White,0,0,0,0,1,26.0,1.0,False,-0.00087210536
1280,1,White,1,0,0,0,11,1.0,57.0,True,0.0010744631
1004,1,White,0,0,0,0,3,1.0,1.0,True,-0.001161933
4624,1,Non-White,0,0,0,0,3,1.0,1.0,True,-0.001161933
1662,1,Non-White,0,0,0,0,3,1.0,1.0,True,-0.001161933
5279,1,Non-White,0,0,0,0,3,1.0,1.0,True,-0.001161933
5982,1,Non-White,1,0,0,0,2,0.0,65.0,False,0.0013919771
5554,1,White,0,0,0,1,2,1.0,25.0,True,-0.0014063567
3196,1,Non-White,1,0,0,0,5,1.0,4.0,False,-0.0014392436
2605,1,White,1,0,0,0,5,1.0,4.0,False,-0.0014392436
6016,1,Non-White,1,0,0,1,5,1.0,7.0,False,-0.0015462488
4960,0,Non-White,0,5,1,0,10,0.0,0.0,False,-0.0016926572
2979,1,Non-White,1,0,0,0,5,1.0,3.0,False,-0.0023917109
3179,0,Non-White,1,0,0,0,4,1.0,24.0,False,-0.0025287122
685,1,Non-White,0,0,0,0,3,0.0,0.0,True,0.0030552447
5641,1,Non-White,1,0,0,0,5,1.0,2.0,False,-0.0033411533
4348,1,Non-White,0,0,0,0,3,1.0,6.0,True,0.0036503673
1038,0,Non-White,0,0,8,1,8,1.0,1.0,False,-0.003657312
2372,1,Non-White,0,0,0,2,3,0.0,7.0,True,0.0038074553
5075,1,White,1,0,0,0,5,1.0,1.0,False,-0.0042877197
1311,1,White,1,0,0,0,5,1.0,1.0,False,-0.0042877197
4874,1,White,1,0,0,0,5,1.0,1.0,False,-0.0042877197
376,1,Non-White,1,0,0,0,5,1.0,1.0,False,-0.0042877197
5653,1,Non-White,1,0,0,0,5,1.0,1.0,False,-0.0042877197
4856,1,Non-White,1,0,0,0,5,1.0,1.0,False,-0.0042877197
6054,1,White,1,0,0,0,5,1.0,1.0,False,-0.0042877197
2197,0,Non-White,1,0,0,0,5,1.0,1.0,False,-0.0042877197
6061,1,White,1,0,0,0,5,1.0,1.0,False,-0.0042877197
5249,1,Non-White,1,0,0,0,5,1.0,1.0,False,-0.0042877197
1623,1,Non-White,0,0,0,0,3,1.0,7.0,True,0.004622057
4951,0,Non-White,0,0,0,3,1,25.0,1.0,False,-0.0046241134
3115,1,White,1,0,0,0,1,1.0,85.0,False,-0.0048315823
5680,1,Non-White,0,0,0,0,3,1.0,8.0,True,0.0055966824
335,1,Non-White,1,0,0,0,5,1.0,12.0,False,0.006290108
3101,0,Non-White,0,0,4,0,14,1.0,180.0,False,-0.0069133085
3099,0,White,1,0,0,0,4,0.0,29.0,False,0.0075073987
3153,1,White,1,0,0,0,4,1.0,18.0,False,-0.008177713
4911,1,White,1,0,0,0,3,1.0,39.0,False,-0.0083118975
823,1,White,0,0,0,0,2,1.0,14.0,True,-0.00883849
3634,1,White,0,0,0,0,1,1.0,35.0,True,-0.008972451
5872,1,Non-White,1,0,0,0,5,2.0,1.0,False,-0.009333491
1444,1,White,1,0,0,0,1,1.0,80.0,False,-0.009509936
2445,1,Non-White,0,0,0,0,3,1.0,12.0,True,0.009525791
408,1,Non-White,1,0,0,0,0,1.0,101.0,False,-0.0096435845
427,1,White,1,0,0,0,1,0.0,74.0,False,-0.010079309
4441,1,Non-White,1,0,0,0,3,1.0,37.0,False,-0.010170013
1159,1,White,1,0,0,0,10,18.0,2.0,False,0.010385245
828,1,Non-White,0,0,0,0,6,18.0,18.0,True,-0.011602297
6000,0,White,1,0,0,0,3,1.0,35.0,False,-0.012016088
2259,1,White,0,0,0,1,2,1.0,13.0,True,-0.012638748
3821,1,White,0,0,0,1,1,23.0,2.0,False,0.012853175
5238,0,Non-White,1,0,0,0,3,1.0,34.0,False,-0.012934595
5760,1,Non-White,1,0,0,0,1,1.0,76.0,False,-0.013198599
1292,0,Non-White,1,4,0,1,14,1.0,1.0,False,-0.013400437
3563,1,Non-White,0,0,0,0,1,1.0,30.0,True,-0.01358442
1986,1,Non-White,0,0,0,0,1,26.0,16.0,False,0.013807505
3678,1,White,0,0,0,0,1,23.0,0.0,False,0.013965711
1740,1,Non-White,0,0,0,0,2,0.0,3.0,True,-0.014014244
6021,1,White,1,0,0,0,5,3.0,1.0,False,-0.014292166
4808,0,Non-White,0,0,0,0,13,1.0,475.0,False,-0.015177306
4367,1,White,0,0,0,0,1,1.0,28.0,True,-0.015408441
3164,1,White,1,0,0,0,0,1.0,127.0,False,0.015500531
1188,1,White,0,0,0,0,2,0.0,1.0,True,-0.0158353
273,1,White,0,0,0,0,2,0.0,1.0,True,-0.0158353
6153,1,White,0,0,0,0,2,0.0,1.0,True,-0.0158353
736,1,White,0,0,0,0,1,23.0,2.0,False,0.015975848
6130,0,White,0,0,0,0,2,1.0,6.0,True,-0.016185462
588,1,Non-White,0,0,0,0,2,1.0,6.0,True,-0.016185462
4027,1,Non-White,1,0,0,0,6,1.0,1.0,False,0.016371503
484,1,Non-White,1,0,0,0,6,1.0,1.0,False,0.016371503
2774,0,Non-White,1,0,0,0,6,1.0,1.0,False,0.016371503
4233,0,Non-White,1,0,0,0,6,1.0,1.0,False,0.016371503
1528,1,White,1,0,0,0,6,1.0,1.0,False,0.016371503
3925,1,Non-White,1,0,0,0,6,1.0,1.0,False,0.016371503
15,1,White,1,0,0,0,6,1.0,1.0,False,0.016371503
4035,1,Non-White,1,0,0,0,6,1.0,1.0,False,0.016371503
5166,1,White,1,0,0,0,6,1.0,1.0,False,0.016371503
6047,1,Non-White,1,0,0,0,9,0.0,75.0,True,-0.016570091
91,1,White,1,0,0,0,1,1.0,107.0,False,0.016654149
3539,1,White,0,0,0,0,2,0.0,0.0,True,-0.016741395
1657,1,Non-White,0,0,0,0,2,0.0,0.0,True,-0.016741395
5017,1,Non-White,0,0,0,0,2,0.0,0.0,True,-0.016741395
1403,0,Non-White,0,2,1,0,11,1.0,26.0,False,-0.017241877
3911,1,Non-White,1,0,0,0,6,1.0,2.0,False,0.017382532
2079,0,White,1,0,0,0,33,1.0,242.0,False,-0.017638337
192,1,Non-White,1,0,0,0,4,0.0,2.0,False,-0.017906293
1146,1,White,1,0,0,0,4,0.0,2.0,False,-0.017906293
5470,1,Non-White,0,0,0,0,2,1.0,4.0,True,-0.017992288
4840,0,Non-White,0,0,0,0,1,30.0,4.0,False,-0.018079072
337,1,White,1,0,0,0,4,1.0,7.0,False,-0.018253744
5934,1,White,1,0,0,0,6,1.0,3.0,False,0.018396512
3369,1,White,1,0,0,0,6,1.0,3.0,False,0.018396512
3621,1,White,1,0,0,0,4,0.0,1.0,False,-0.018805593
3600,1,Non-White,1,0,0,0,4,0.0,1.0,False,-0.018805593
2754,1,White,1,0,0,0,4,0.0,1.0,False,-0.018805593
4002,1,Non-White,0,0,0,0,0,1.0,45.0,True,-0.019149676
2506,1,Non-White,1,0,0,0,6,1.0,4.0,False,0.01941362
1799,1,White,1,0,0,0,1,1.0,69.0,False,-0.019539014
4157,1,Non-White,0,0,0,1,2,0.0,0.0,True,-0.019542202
4099,1,White,0,0,0,1,2,0.0,0.0,True,-0.019542202
1118,1,Non-White,1,0,0,0,4,0.0,0.0,False,-0.019701943
4456,1,Non-White,0,0,0,0,4,1.0,1.0,True,0.019709632
1554,0,Non-White,0,0,0,0,2,1.0,2.0,True,-0.019787356
433,1,Non-White,0,0,0,0,2,1.0,2.0,True,-0.019787356
4299,1,Non-White,1,0,0,0,4,1.0,5.0,False,-0.020047054
66,1,Non-White,0,0,0,0,1,0.0,17.0,True,-0.020464614
4055,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.020680323
5363,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.020680323
135,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.020680323
3195,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.020680323
4134,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.020680323
4097,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.020680323
3864,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.020680323
1267,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.020680323
4149,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.020680323
5876,1,White,0,0,0,0,2,1.0,1.0,True,-0.020680323
651,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.020680323
3741,1,Non-White,0,0,0,0,4,1.0,2.0,True,0.020730719
1171,1,White,0,0,0,0,1,1.0,22.0,True,-0.020808697
855,1,White,1,0,0,0,6,0.0,0.0,False,0.020828307
3386,0,Non-White,1,0,0,0,6,0.0,0.0,False,0.020828307
5537,1,Non-White,1,0,0,0,6,1.0,6.0,False,0.021456942
1237,0,Non-White,0,0,5,0,12,0.0,37.0,True,-0.021674408
4708,0,Non-White,1,0,0,0,21,1.0,449.0,False,-0.02176115
5846,1,Non-White,1,0,0,0,6,0.0,1.0,False,0.021852687
5768,1,White,1,0,0,0,2,1.0,91.0,False,0.021891713
2104,0,Non-White,0,0,2,2,20,1.0,30.0,False,-0.022019982
2743,0,Non-White,0,0,2,0,21,1.0,1.0,False,-0.022180269
4084,0,Non-White,1,0,6,1,19,1.0,1.0,True,-0.022545164
2327,1,White,1,0,0,0,4,1.0,2.0,False,-0.022714943
2088,1,White,1,0,0,0,4,1.0,2.0,False,-0.022714943
750,1,Non-White,1,0,0,0,4,1.0,2.0,False,-0.022714943
2681,1,White,1,0,0,0,3,1.0,23.0,False,-0.022842273
3606,1,Non-White,1,0,0,0,11,1.0,79.0,True,0.0229768
1801,1,Non-White,1,0,0,0,4,1.0,1.0,False,-0.023598239
4004,1,Non-White,1,0,0,0,4,1.0,1.0,False,-0.023598239
5805,1,Non-White,1,0,0,0,4,1.0,1.0,False,-0.023598239
973,1,White,1,0,0,0,4,1.0,1.0,False,-0.023598239
5472,1,Non-White,1,0,0,0,4,1.0,1.0,False,-0.023598239
6125,1,Non-White,1,0,0,0,4,1.0,1.0,False,-0.023598239
1855,0,Non-White,1,0,0,0,4,1.0,1.0,False,-0.023598239
618,0,Non-White,1,0,0,0,4,1.0,1.0,False,-0.023598239
660,1,Non-White,1,0,0,0,4,1.0,1.0,False,-0.023598239
5944,1,White,1,0,0,0,4,1.0,1.0,False,-0.023598239
1130,0,Non-White,0,0,3,1,15,1.0,2.0,False,-0.024074921
4062,1,Non-White,0,0,0,0,4,0.0,0.0,True,0.02421081
6106,0,White,0,4,0,0,5,1.0,10.0,True,-0.024403851
300,1,Non-White,0,0,0,1,2,1.0,51.0,True,0.024431884
1509,1,White,1,0,0,0,4,1.0,0.0,False,-0.024478659
5085,1,White,0,0,0,0,2,2.0,2.0,True,-0.024562553
3390,1,Non-White,1,0,0,0,0,1.0,84.0,False,-0.024984524
6022,1,Non-White,1,1,0,0,18,0.0,299.0,False,-0.025020825
4183,0,Non-White,1,0,0,0,13,1.0,39.0,True,0.025340065
6145,1,White,1,0,0,0,5,1.0,31.0,False,0.025431395
276,1,White,0,0,0,0,2,2.0,1.0,True,-0.025439784
3142,1,White,1,0,0,0,2,1.0,41.0,False,-0.025608301
1957,0,Non-White,0,0,3,2,14,0.0,5.0,False,-0.025810374
4336,1,Non-White,0,0,0,0,0,0.0,32.0,True,-0.025891349
5700,1,Non-White,0,0,0,0,1,1.0,16.0,True,-0.026102811
4110,0,Non-White,0,0,1,0,24,0.0,0.0,False,-0.026752641
3359,0,Non-White,0,0,0,0,29,1.0,5.0,False,-0.027353087
2364,0,Non-White,1,0,0,0,0,1.0,81.0,False,-0.02760315
396,1,Non-White,1,0,0,0,12,1.0,4.0,True,-0.028047442
1889,1,White,1,0,0,0,6,10.0,2.0,False,-0.028131902
1676,1,Non-White,1,0,0,0,4,2.0,1.0,False,-0.02830562
4009,1,Non-White,1,0,0,0,3,0.0,11.0,False,-0.02862762
1724,0,Non-White,1,0,0,0,16,0.0,483.0,False,-0.029096058
2705,0,Non-White,1,0,0,0,6,1.0,14.0,False,0.029753834
