,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree,influences,prediction
2647,0,Non-White,0,0,13,1,21,0.0,118.0,False,-3.5429817e-05,0.86129373
96,1,Non-White,1,0,0,0,5,0.0,0.0,False,-0.00011411309,0.44683236
2648,1,Non-White,1,0,0,0,5,0.0,0.0,False,-0.00011411309,0.65624696
2020,0,Non-White,0,0,0,0,3,1.0,2.0,True,-0.00020553172,0.80481845
4188,1,Non-White,0,0,0,0,3,1.0,2.0,True,-0.00020553172,0.89715517
2485,1,Non-White,0,0,0,0,1,28.0,13.0,False,0.0003040135,0.7818315
2706,0,Non-White,0,0,0,0,3,1.0,3.0,True,0.00075390935,0.73634946
4094,1,White,1,0,0,0,5,0.0,1.0,False,0.0008455664,0.95092124
5815,1,Non-White,0,0,0,0,1,26.0,1.0,False,-0.00087210536,0.8617312
1280,1,White,1,0,0,0,11,1.0,57.0,True,0.0010744631,0.7603848
1004,1,White,0,0,0,0,3,1.0,1.0,True,-0.001161933,0.93898064
4624,1,Non-White,0,0,0,0,3,1.0,1.0,True,-0.001161933,0.7183962
1662,1,Non-White,0,0,0,0,3,1.0,1.0,True,-0.001161933,0.62423986
5279,1,Non-White,0,0,0,0,3,1.0,1.0,True,-0.001161933,0.983827
5982,1,Non-White,1,0,0,0,2,0.0,65.0,False,0.0013919771,0.50544435
5554,1,White,0,0,0,1,2,1.0,25.0,True,-0.0014063567,0.759681
3196,1,Non-White,1,0,0,0,5,1.0,4.0,False,-0.0014392436,0.71002626
2605,1,White,1,0,0,0,5,1.0,4.0,False,-0.0014392436,0.9592748
6016,1,Non-White,1,0,0,1,5,1.0,7.0,False,-0.0015462488,0.74004334
4960,0,Non-White,0,5,1,0,10,0.0,0.0,False,-0.0016926572,0.7705417
2979,1,Non-White,1,0,0,0,5,1.0,3.0,False,-0.0023917109,0.8650048
3179,0,Non-White,1,0,0,0,4,1.0,24.0,False,-0.0025287122,0.76215065
685,1,Non-White,0,0,0,0,3,0.0,0.0,True,0.0030552447,0.90634274
5641,1,Non-White,1,0,0,0,5,1.0,2.0,False,-0.0033411533,0.8601289
4348,1,Non-White,0,0,0,0,3,1.0,6.0,True,0.0036503673,0.84707576
1038,0,Non-White,0,0,8,1,8,1.0,1.0,False,-0.003657312,0.70680934
2372,1,Non-White,0,0,0,2,3,0.0,7.0,True,0.0038074553,0.7795588
5075,1,White,1,0,0,0,5,1.0,1.0,False,-0.0042877197,0.7425705
1311,1,White,1,0,0,0,5,1.0,1.0,False,-0.0042877197,0.61391515
4874,1,White,1,0,0,0,5,1.0,1.0,False,-0.0042877197,0.7705417
376,1,Non-White,1,0,0,0,5,1.0,1.0,False,-0.0042877197,0.51626825
5653,1,Non-White,1,0,0,0,5,1.0,1.0,False,-0.0042877197,0.80926126
4856,1,Non-White,1,0,0,0,5,1.0,1.0,False,-0.0042877197,0.6738701
6054,1,White,1,0,0,0,5,1.0,1.0,False,-0.0042877197,0.3305281
2197,0,Non-White,1,0,0,0,5,1.0,1.0,False,-0.0042877197,0.95143366
6061,1,White,1,0,0,0,5,1.0,1.0,False,-0.0042877197,0.5492558
5249,1,Non-White,1,0,0,0,5,1.0,1.0,False,-0.0042877197,0.55134225
1623,1,Non-White,0,0,0,0,3,1.0,7.0,True,0.004622057,0.65963477
4951,0,Non-White,0,0,0,3,1,25.0,1.0,False,-0.0046241134,0.80851024
3115,1,White,1,0,0,0,1,1.0,85.0,False,-0.0048315823,0.7306074
5680,1,Non-White,0,0,0,0,3,1.0,8.0,True,0.0055966824,0.69180167
335,1,Non-White,1,0,0,0,5,1.0,12.0,False,0.006290108,0.95908463
3101,0,Non-White,0,0,4,0,14,1.0,180.0,False,-0.0069133085,0.8650048
3099,0,White,1,0,0,0,4,0.0,29.0,False,0.0075073987,0.84625113
3153,1,White,1,0,0,0,4,1.0,18.0,False,-0.008177713,0.6981724
4911,1,White,1,0,0,0,3,1.0,39.0,False,-0.0083118975,0.98223615
823,1,White,0,0,0,0,2,1.0,14.0,True,-0.00883849,0.8712189
3634,1,White,0,0,0,0,1,1.0,35.0,True,-0.008972451,0.8295786
5872,1,Non-White,1,0,0,0,5,2.0,1.0,False,-0.009333491,0.6492629
1444,1,White,1,0,0,0,1,1.0,80.0,False,-0.009509936,0.92413795
2445,1,Non-White,0,0,0,0,3,1.0,12.0,True,0.009525791,0.9594642
408,1,Non-White,1,0,0,0,0,1.0,101.0,False,-0.0096435845,0.80381864
427,1,White,1,0,0,0,1,0.0,74.0,False,-0.010079309,0.79556745
4441,1,Non-White,1,0,0,0,3,1.0,37.0,False,-0.010170013,0.34986332
1159,1,White,1,0,0,0,10,18.0,2.0,False,0.010385245,0.76215065
828,1,Non-White,0,0,0,0,6,18.0,18.0,True,-0.011602297,0.519503
6000,0,White,1,0,0,0,3,1.0,35.0,False,-0.012016088,0.7705417
2259,1,White,0,0,0,1,2,1.0,13.0,True,-0.012638748,0.74928
3821,1,White,0,0,0,1,1,23.0,2.0,False,0.012853175,0.94396776
5238,0,Non-White,1,0,0,0,3,1.0,34.0,False,-0.012934595,0.8769116
5760,1,Non-White,1,0,0,0,1,1.0,76.0,False,-0.013198599,0.9533383
1292,0,Non-White,1,4,0,1,14,1.0,1.0,False,-0.013400437,0.90634274
3563,1,Non-White,0,0,0,0,1,1.0,30.0,True,-0.01358442,0.59548926
1986,1,Non-White,0,0,0,0,1,26.0,16.0,False,0.013807505,0.6897806
3678,1,White,0,0,0,0,1,23.0,0.0,False,0.013965711,0.5255391
1740,1,Non-White,0,0,0,0,2,0.0,3.0,True,-0.014014244,0.4242928
6021,1,White,1,0,0,0,5,3.0,1.0,False,-0.014292166,0.9133686
4808,0,Non-White,0,0,0,0,13,1.0,475.0,False,-0.015177306,0.9533383
4367,1,White,0,0,0,0,1,1.0,28.0,True,-0.015408441,0.9173748
3164,1,White,1,0,0,0,0,1.0,127.0,False,0.015500531,0.76272506
1188,1,White,0,0,0,0,2,0.0,1.0,True,-0.0158353,0.71139395
273,1,White,0,0,0,0,2,0.0,1.0,True,-0.0158353,0.9592748
6153,1,White,0,0,0,0,2,0.0,1.0,True,-0.0158353,0.7713996
736,1,White,0,0,0,0,1,23.0,2.0,False,0.015975848,0.9526858
6130,0,White,0,0,0,0,2,1.0,6.0,True,-0.016185462,0.76968163
588,1,Non-White,0,0,0,0,2,1.0,6.0,True,-0.016185462,0.7183962
4027,1,Non-White,1,0,0,0,6,1.0,1.0,False,0.016371503,0.73634946
484,1,Non-White,1,0,0,0,6,1.0,1.0,False,0.016371503,0.9489599
2774,0,Non-White,1,0,0,0,6,1.0,1.0,False,0.016371503,0.7705417
4233,0,Non-White,1,0,0,0,6,1.0,1.0,False,0.016371503,0.7637153
1528,1,White,1,0,0,0,6,1.0,1.0,False,0.016371503,0.74442345
3925,1,Non-White,1,0,0,0,6,1.0,1.0,False,0.016371503,0.8969439
15,1,White,1,0,0,0,6,1.0,1.0,False,0.016371503,0.90087783
4035,1,Non-White,1,0,0,0,6,1.0,1.0,False,0.016371503,0.61712784
5166,1,White,1,0,0,0,6,1.0,1.0,False,0.016371503,0.32644296
6047,1,Non-White,1,0,0,0,9,0.0,75.0,True,-0.016570091,0.5744658
91,1,White,1,0,0,0,1,1.0,107.0,False,0.016654149,0.5955156
3539,1,White,0,0,0,0,2,0.0,0.0,True,-0.016741395,0.8724165
1657,1,Non-White,0,0,0,0,2,0.0,0.0,True,-0.016741395,0.65807873
5017,1,Non-White,0,0,0,0,2,0.0,0.0,True,-0.016741395,0.90634274
1403,0,Non-White,0,2,1,0,11,1.0,26.0,False,-0.017241877,0.9592748
3911,1,Non-White,1,0,0,0,6,1.0,2.0,False,0.017382532,0.60766834
2079,0,White,1,0,0,0,33,1.0,242.0,False,-0.017638337,0.7453466
192,1,Non-White,1,0,0,0,4,0.0,2.0,False,-0.017906293,0.7980988
1146,1,White,1,0,0,0,4,0.0,2.0,False,-0.017906293,0.85826015
5470,1,Non-White,0,0,0,0,2,1.0,4.0,True,-0.017992288,0.7537364
4840,0,Non-White,0,0,0,0,1,30.0,4.0,False,-0.018079072,0.67860526
337,1,White,1,0,0,0,4,1.0,7.0,False,-0.018253744,0.76215065
5934,1,White,1,0,0,0,6,1.0,3.0,False,0.018396512,0.76968163
3369,1,White,1,0,0,0,6,1.0,3.0,False,0.018396512,0.8823866
3621,1,White,1,0,0,0,4,0.0,1.0,False,-0.018805593,0.7736643
3600,1,Non-White,1,0,0,0,4,0.0,1.0,False,-0.018805593,0.8712189
2754,1,White,1,0,0,0,4,0.0,1.0,False,-0.018805593,0.68455887
4002,1,Non-White,0,0,0,0,0,1.0,45.0,True,-0.019149676,0.73748505
2506,1,Non-White,1,0,0,0,6,1.0,4.0,False,0.01941362,0.9468298
1799,1,White,1,0,0,0,1,1.0,69.0,False,-0.019539014,0.7264693
4157,1,Non-White,0,0,0,1,2,0.0,0.0,True,-0.019542202,0.7453466
4099,1,White,0,0,0,1,2,0.0,0.0,True,-0.019542202,0.7183962
1118,1,Non-White,1,0,0,0,4,0.0,0.0,False,-0.019701943,0.89400774
4456,1,Non-White,0,0,0,0,4,1.0,1.0,True,0.019709632,0.21903354
1554,0,Non-White,0,0,0,0,2,1.0,2.0,True,-0.019787356,0.86902285
433,1,Non-White,0,0,0,0,2,1.0,2.0,True,-0.019787356,0.9426097
4299,1,Non-White,1,0,0,0,4,1.0,5.0,False,-0.020047054,0.89400774
66,1,Non-White,0,0,0,0,1,0.0,17.0,True,-0.020464614,0.92156357
4055,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.020680323,0.9133686
5363,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.020680323,0.89400774
135,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.020680323,0.90634274
3195,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.020680323,0.7453466
4134,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.020680323,0.95889354
4097,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.020680323,0.89400774
