,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree,influences
79,1,Non-White,0,0,0,0,1,0.0,4.0,False,-4.711933434009552e-05
5387,1,Non-White,1,0,0,0,5,1.0,9.0,False,-0.00011590402573347092
3669,1,White,1,0,0,0,8,26.0,24.0,True,-0.00011868961155414581
1827,1,Non-White,1,0,0,0,5,0.0,2.0,False,-0.00012172292917966843
1449,1,Non-White,1,0,0,0,5,0.0,1.0,False,-0.0002623777836561203
2899,1,Non-White,1,0,0,0,5,0.0,1.0,False,-0.0002623777836561203
5617,1,Non-White,1,0,1,0,6,27.0,49.0,True,-0.00029224343597888947
5973,1,Non-White,1,0,0,0,3,1.0,115.0,True,-0.00031416467390954494
1545,1,White,1,0,0,2,6,0.0,0.0,True,0.0003383476287126541
581,1,Non-White,1,0,0,0,5,1.0,7.0,False,-0.00039193592965602875
2961,1,Non-White,1,0,0,0,5,1.0,7.0,False,-0.00039193592965602875
4702,1,White,1,0,0,0,5,0.0,0.0,False,-0.00040188059210777283
480,1,White,1,0,0,0,5,0.0,0.0,False,-0.00040188059210777283
3597,1,White,0,0,0,0,1,1.0,13.0,False,0.0004330771043896675
3147,1,White,1,0,0,0,5,1.0,6.0,True,-0.00045437319204211235
496,1,White,0,0,0,0,1,1.0,10.0,True,-0.00048120366409420967
5516,1,White,0,0,0,0,1,0.0,3.0,True,-0.0004922917578369379
1727,1,Non-White,0,0,0,0,1,0.0,2.0,False,-0.0005192961543798447
4162,1,Non-White,0,0,0,0,1,0.0,2.0,False,-0.0005192961543798447
5806,1,Non-White,0,0,0,0,1,0.0,2.0,False,-0.0005192961543798447
5240,0,Non-White,0,0,0,0,1,0.0,5.0,False,-0.0005220286548137665
4234,1,White,1,0,0,0,5,1.0,4.0,True,-0.0005906927399337292
854,1,Non-White,0,0,0,0,1,0.0,2.0,True,-0.0006198000628501177
1363,1,White,1,0,0,0,5,1.0,21.0,True,0.0006498768925666809
4551,1,Non-White,1,0,0,0,5,1.0,3.0,True,-0.0006579237524420023
3168,1,Non-White,1,0,0,0,5,1.0,2.0,True,-0.000724542886018753
3912,1,White,0,0,0,0,1,0.0,1.0,True,-0.0007462429348379374
2863,1,White,0,0,0,0,1,0.0,1.0,True,-0.0007462429348379374
2783,1,White,0,0,0,0,1,0.0,1.0,False,-0.0007528588175773621
