,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree,influences,prediction
79,1,Non-White,0,0,0,0,1,0.0,4.0,False,-4.711933434009552e-05,0.89074475
5387,1,Non-White,1,0,0,0,5,1.0,9.0,False,-0.00011590402573347092,0.9592748
3669,1,White,1,0,0,0,8,26.0,24.0,True,-0.00011868961155414581,0.76215065
1827,1,Non-White,1,0,0,0,5,0.0,2.0,False,-0.00012172292917966843,0.6467035
1449,1,Non-White,1,0,0,0,5,0.0,1.0,False,-0.0002623777836561203,0.81001
2899,1,Non-White,1,0,0,0,5,0.0,1.0,False,-0.0002623777836561203,0.6399889
5617,1,Non-White,1,0,1,0,6,27.0,49.0,True,-0.00029224343597888947,0.88620526
5973,1,Non-White,1,0,0,0,3,1.0,115.0,True,-0.00031416467390954494,0.58299744
1545,1,White,1,0,0,2,6,0.0,0.0,True,0.0003383476287126541,0.9597245
581,1,Non-White,1,0,0,0,5,1.0,7.0,False,-0.00039193592965602875,0.9592748
2961,1,Non-White,1,0,0,0,5,1.0,7.0,False,-0.00039193592965602875,0.9173748
4702,1,White,1,0,0,0,5,0.0,0.0,False,-0.00040188059210777283,0.9666323
480,1,White,1,0,0,0,5,0.0,0.0,False,-0.00040188059210777283,0.88248724
3597,1,White,0,0,0,0,1,1.0,13.0,False,0.0004330771043896675,0.89400774
3147,1,White,1,0,0,0,5,1.0,6.0,True,-0.00045437319204211235,0.62586653
496,1,White,0,0,0,0,1,1.0,10.0,True,-0.00048120366409420967,0.8481378
5516,1,White,0,0,0,0,1,0.0,3.0,True,-0.0004922917578369379,0.755057
1727,1,Non-White,0,0,0,0,1,0.0,2.0,False,-0.0005192961543798447,0.8481378
4162,1,Non-White,0,0,0,0,1,0.0,2.0,False,-0.0005192961543798447,0.9592748
5806,1,Non-White,0,0,0,0,1,0.0,2.0,False,-0.0005192961543798447,0.94983935
5240,0,Non-White,0,0,0,0,1,0.0,5.0,False,-0.0005220286548137665,0.9173748
4234,1,White,1,0,0,0,5,1.0,4.0,True,-0.0005906927399337292,0.84082234
854,1,Non-White,0,0,0,0,1,0.0,2.0,True,-0.0006198000628501177,0.89400774
1363,1,White,1,0,0,0,5,1.0,21.0,True,0.0006498768925666809,0.9173748
4551,1,Non-White,1,0,0,0,5,1.0,3.0,True,-0.0006579237524420023,0.6721037
3168,1,Non-White,1,0,0,0,5,1.0,2.0,True,-0.000724542886018753,0.7705417
3912,1,White,0,0,0,0,1,0.0,1.0,True,-0.0007462429348379374,0.7705417
2863,1,White,0,0,0,0,1,0.0,1.0,True,-0.0007462429348379374,0.5955156
2783,1,White,0,0,0,0,1,0.0,1.0,False,-0.0007528588175773621,0.8650048
4857,1,Non-White,0,0,0,0,1,0.0,1.0,False,-0.0007528588175773621,0.9531218
1601,1,Non-White,0,0,0,0,1,0.0,1.0,False,-0.0007528588175773621,0.9592748
2068,1,Non-White,0,0,0,0,1,0.0,1.0,False,-0.0007528588175773621,0.9677852
933,1,Non-White,0,0,0,0,1,0.0,1.0,False,-0.0007528588175773621,0.60675216
5668,1,White,1,0,0,0,5,1.0,1.0,True,-0.0007905506063252687,0.757486
1574,1,White,1,0,0,0,5,1.0,1.0,True,-0.0007905506063252687,0.9592748
5923,1,Non-White,1,0,0,0,5,1.0,1.0,True,-0.0007905506063252687,0.028810766
3018,1,Non-White,1,0,0,0,5,1.0,1.0,True,-0.0007905506063252687,0.62586653
4653,1,White,1,0,0,0,5,1.0,4.0,False,-0.0007975157350301743,0.8537495
5666,1,Non-White,1,0,0,0,5,1.0,4.0,False,-0.0007975157350301743,0.9592748
5090,1,Non-White,1,0,0,0,4,1.0,75.0,True,0.0008086038287729025,0.86129373
1672,1,Non-White,1,0,0,0,5,1.0,0.0,True,-0.0008559550624340773,0.847511
1065,1,White,1,0,0,0,5,1.0,0.0,True,-0.0008559550624340773,0.6484779
277,1,Non-White,0,0,0,0,1,0.0,0.0,True,-0.0008716252632439137,0.91700584
1558,1,Non-White,0,0,0,0,1,0.0,0.0,True,-0.0008716252632439137,0.7705417
5777,1,Non-White,0,0,0,0,1,0.0,0.0,True,-0.0008716252632439137,0.8430639
2392,1,Non-White,0,0,0,0,1,0.0,0.0,True,-0.0008716252632439137,0.80926126
4916,1,White,1,0,0,0,3,1.0,121.0,False,0.0008834544569253922,0.8533824
366,0,White,0,0,0,1,1,1.0,32.0,False,0.0009302981197834015,0.953554
1698,1,Non-White,1,0,0,0,5,1.0,3.0,False,-0.0009304778650403023,0.62732995
3303,1,White,0,0,0,0,1,0.0,0.0,False,-0.00098474882543087,0.76215065
3716,1,Non-White,0,0,0,0,1,0.0,0.0,False,-0.00098474882543087,0.62130517
4673,1,Non-White,1,0,0,0,5,1.0,2.0,False,-0.0010623270645737648,0.8440466
3954,1,Non-White,1,0,0,0,0,1.0,280.0,False,0.0011321241036057472,0.8627195
822,1,Non-White,1,0,0,0,4,1.0,79.0,True,0.0011682428885251284,0.7183962
2829,1,Non-White,0,0,0,0,1,1.0,6.0,False,-0.0011925259605050087,0.9013108
5269,1,White,1,0,0,0,5,1.0,1.0,False,-0.0011930735781788826,0.89228654
3643,1,Non-White,1,0,0,0,5,1.0,1.0,False,-0.0011930735781788826,0.7025435
848,1,Non-White,1,0,0,0,5,1.0,1.0,False,-0.0011930735781788826,0.74442345
3625,1,Non-White,1,0,0,0,5,1.0,1.0,False,-0.0011930735781788826,0.8876493
960,1,Non-White,1,0,0,0,5,1.0,1.0,False,-0.0011930735781788826,0.75389826
3371,1,White,1,0,0,0,5,1.0,1.0,False,-0.0011930735781788826,0.8519322
3938,1,White,1,0,0,0,5,1.0,1.0,False,-0.0011930735781788826,0.92522186
2401,0,Non-White,0,0,0,0,1,1.0,13.0,False,-0.0011957921087741852,0.8769116
715,1,Non-White,0,0,0,0,1,1.0,5.0,False,-0.001418108120560646,0.9137523
2550,1,Non-White,0,0,0,0,1,1.0,2.0,True,-0.0014568306505680084,0.8712189
3601,1,Non-White,0,0,0,0,1,1.0,2.0,True,-0.0014568306505680084,0.7411133
4497,1,Non-White,0,0,0,0,1,1.0,2.0,True,-0.0014568306505680084,0.7453466
