,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree,influences
2647,0,Non-White,0,0,13,1,21,0.0,118.0,False,0.00019345958034902686
4265,1,Non-White,0,3,0,0,6,26.0,26.0,False,-0.008273095281995824
4960,0,Non-White,0,5,1,0,10,0.0,0.0,False,0.009242519113720267
1148,0,Non-White,0,3,0,0,2,21.0,15.0,False,-0.010904270851193276
1247,0,Non-White,1,3,0,0,6,1.0,31.0,False,-0.011534498532586479
302,0,Non-White,0,2,0,0,3,0.0,0.0,False,-0.013536230395327031
5502,1,Non-White,0,1,1,0,2,1.0,50.0,False,-0.015746545660573208
931,0,Non-White,1,2,0,0,18,1.0,1.0,True,-0.018282610057711146
3466,0,Non-White,0,1,1,1,2,1.0,2.0,False,-0.018659161083195652
5400,0,Non-White,0,1,0,0,6,0.0,0.0,False,-0.01982600809112567
1678,0,Non-White,0,2,0,0,2,21.0,21.0,False,-0.01983977491341138
4345,0,Non-White,1,2,0,0,8,0.0,2.0,False,-0.01995279121517113
1038,0,Non-White,0,0,8,1,8,1.0,1.0,False,0.019970242508505875
4674,1,Non-White,0,1,0,0,6,1.0,1.0,False,-0.02009433244895975
2403,0,Non-White,0,2,0,0,6,1.0,1.0,True,-0.020142495675137706
1560,0,Non-White,1,2,0,0,19,17.0,17.0,True,-0.021266625183498977
1602,1,Non-White,0,0,2,0,3,1.0,1.0,False,-0.021272221827269178
4100,0,White,0,0,2,0,3,1.0,1.0,False,-0.021272221827269178
5646,1,Non-White,0,0,3,1,6,1.0,1.0,True,-0.021679010297409373
122,0,Non-White,1,1,1,0,9,1.0,13.0,False,-0.022405527099018663
5155,0,Non-White,0,1,0,0,4,1.0,1.0,False,-0.022746493446543337
5338,1,Non-White,1,0,3,0,7,1.0,5.0,False,-0.022778756358359686
75,0,Non-White,0,1,0,0,2,0.0,30.0,False,-0.02325275380039482
5264,0,Non-White,0,1,0,1,2,1.0,36.0,False,-0.023413336014095343
4096,0,White,0,0,1,0,6,0.0,0.0,False,-0.023989609221832797
5803,0,Non-White,0,1,0,0,3,1.0,2.0,False,-0.024041872628984606
3945,0,Non-White,0,0,1,0,6,1.0,4.0,False,-0.024079231775037346
1806,1,Non-White,0,1,0,0,2,1.0,18.0,False,-0.0243749261514683
