,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree,influences,prediction
2647,0,Non-White,0,0,13,1,21,0.0,118.0,False,0.00019345958034902686,0.86129373
4265,1,Non-White,0,3,0,0,6,26.0,26.0,False,-0.008273095281995824,0.44683236
4960,0,Non-White,0,5,1,0,10,0.0,0.0,False,0.009242519113720267,0.65624696
1148,0,Non-White,0,3,0,0,2,21.0,15.0,False,-0.010904270851193276,0.80481845
1247,0,Non-White,1,3,0,0,6,1.0,31.0,False,-0.011534498532586479,0.89715517
302,0,Non-White,0,2,0,0,3,0.0,0.0,False,-0.013536230395327031,0.7818315
5502,1,Non-White,0,1,1,0,2,1.0,50.0,False,-0.015746545660573208,0.73634946
931,0,Non-White,1,2,0,0,18,1.0,1.0,True,-0.018282610057711146,0.95092124
3466,0,Non-White,0,1,1,1,2,1.0,2.0,False,-0.018659161083195652,0.8617312
5400,0,Non-White,0,1,0,0,6,0.0,0.0,False,-0.01982600809112567,0.7603848
1678,0,Non-White,0,2,0,0,2,21.0,21.0,False,-0.01983977491341138,0.93898064
4345,0,Non-White,1,2,0,0,8,0.0,2.0,False,-0.01995279121517113,0.7183962
1038,0,Non-White,0,0,8,1,8,1.0,1.0,False,0.019970242508505875,0.62423986
4674,1,Non-White,0,1,0,0,6,1.0,1.0,False,-0.02009433244895975,0.983827
2403,0,Non-White,0,2,0,0,6,1.0,1.0,True,-0.020142495675137706,0.50544435
1560,0,Non-White,1,2,0,0,19,17.0,17.0,True,-0.021266625183498977,0.759681
1602,1,Non-White,0,0,2,0,3,1.0,1.0,False,-0.021272221827269178,0.71002626
4100,0,White,0,0,2,0,3,1.0,1.0,False,-0.021272221827269178,0.9592748
5646,1,Non-White,0,0,3,1,6,1.0,1.0,True,-0.021679010297409373,0.74004334
122,0,Non-White,1,1,1,0,9,1.0,13.0,False,-0.022405527099018663,0.7705417
5155,0,Non-White,0,1,0,0,4,1.0,1.0,False,-0.022746493446543337,0.8650048
5338,1,Non-White,1,0,3,0,7,1.0,5.0,False,-0.022778756358359686,0.76215065
