,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree,influences
2849,1,Non-White,1,0,0,0,3,1.0,16.0,False,7.88859324529767e-06
1981,1,White,1,0,0,0,4,2.0,1.0,False,-8.89546936377883e-06
85,1,Non-White,0,0,0,0,1,10.0,9.0,True,1.2725475244224072e-05
3382,1,White,1,0,0,0,3,1.0,14.0,False,2.397497883066535e-05
2781,1,Non-White,1,0,0,0,3,1.0,14.0,False,2.397497883066535e-05
4046,1,White,1,0,0,0,3,1.0,12.0,False,3.978871973231435e-05
2677,1,Non-White,1,0,1,0,5,1.0,1.0,False,-4.540232475847006e-05
5415,1,White,1,0,0,0,3,1.0,7.0,False,7.814966375008225e-05
2391,1,White,1,0,0,0,2,0.0,23.0,False,8.576654363423586e-05
3073,1,Non-White,1,0,0,0,3,1.0,4.0,False,0.00010037608444690704
2386,1,Non-White,0,0,0,0,0,16.0,31.0,False,-0.00010398065205663443
4252,1,White,1,0,0,0,9,1.0,1.0,True,-0.00010550930164754391
2971,1,Non-White,1,1,0,0,8,1.0,2.0,True,0.00010573491454124451
469,1,Non-White,1,0,0,0,3,1.0,3.0,False,0.00010765535989776254
3491,1,Non-White,1,0,0,0,3,1.0,3.0,False,0.00010765535989776254
2718,1,Non-White,1,0,0,0,3,1.0,30.0,False,-0.00011260580504313111
5519,1,Non-White,1,0,0,0,3,1.0,2.0,False,0.00011487060692161322
3553,1,Non-White,1,0,0,0,3,1.0,2.0,False,0.00011487060692161322
2942,1,White,1,0,0,0,3,1.0,2.0,False,0.00011487060692161322
5208,1,Non-White,0,0,0,1,0,1.0,1.0,True,-0.0001217016251757741
1396,1,White,0,0,0,1,0,1.0,1.0,True,-0.0001217016251757741
5436,1,Non-White,0,0,0,1,0,1.0,1.0,True,-0.0001217016251757741
2983,1,White,0,0,0,1,0,1.0,1.0,True,-0.0001217016251757741
3714,1,White,0,0,0,1,0,1.0,1.0,True,-0.0001217016251757741
5187,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
1056,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
5963,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
1003,1,Non-White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
718,1,Non-White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
4975,1,Non-White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
5530,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
3497,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
1448,1,Non-White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
4992,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
1988,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
937,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
5418,1,Non-White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
4293,1,Non-White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
1859,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
3237,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
755,1,Non-White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
784,1,Non-White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
403,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
1931,1,Non-White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
1841,1,Non-White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456
4080,1,White,1,0,0,0,2,0.0,16.0,False,0.00013612760812975466
4666,0,Non-White,0,0,8,2,12,1.0,76.0,False,-0.00015564134810119867
922,1,White,1,0,0,0,2,0.0,13.0,False,0.00015676493057981133
1243,1,White,0,0,0,0,7,18.0,18.0,True,0.0001762185711413622
4626,0,White,1,0,0,2,14,0.0,1.0,False,-0.00018062442541122437
3766,1,Non-White,1,0,0,0,2,0.0,9.0,False,0.0001834227005019784
304,1,Non-White,1,0,0,0,1,0.0,95.0,False,0.00019069871632382274
586,1,White,1,0,0,0,2,0.0,2.0,False,0.0002277725434396416
2935,1,White,1,0,0,0,2,0.0,1.0,False,0.00023387459805235267
5336,1,Non-White,1,0,0,0,2,0.0,1.0,False,0.00023387459805235267
5140,1,Non-White,1,0,0,0,2,0.0,1.0,False,0.00023387459805235267
2355,1,White,1,0,0,0,2,0.0,1.0,False,0.00023387459805235267
1642,1,Non-White,1,0,0,0,2,0.0,1.0,False,0.00023387459805235267
2237,1,Non-White,1,0,0,0,2,0.0,1.0,False,0.00023387459805235267
4484,1,White,1,1,6,0,13,1.0,1.0,False,0.0002370886504650116
4374,1,Non-White,1,0,0,0,2,0.0,0.0,False,0.00023991940543055534
2161,1,Non-White,1,0,0,0,2,0.0,0.0,False,0.00023991940543055534
5828,1,Non-White,1,0,0,0,2,0.0,0.0,False,0.00023991940543055534
4291,1,Non-White,1,0,0,0,2,0.0,0.0,False,0.00023991940543055534
3738,1,White,0,0,0,0,2,12.0,11.0,True,0.00029906758572906256
3954,1,Non-White,1,0,0,0,0,1.0,280.0,False,-0.00031293212668970227
108,1,White,1,0,0,0,6,4.0,0.0,False,-0.0003249277360737324
3069,1,Non-White,1,0,0,0,13,13.0,1.0,False,-0.00037036952562630177
1515,1,Non-White,1,0,0,0,3,0.0,0.0,False,-0.0003769915783777833
374,1,Non-White,1,0,0,0,3,0.0,0.0,False,-0.0003769915783777833
4950,1,Non-White,1,0,0,0,3,0.0,0.0,False,-0.0003769915783777833
3037,1,Non-White,1,0,0,0,3,0.0,0.0,False,-0.0003769915783777833
3171,1,White,1,0,0,0,3,0.0,0.0,False,-0.0003769915783777833
288,1,Non-White,1,0,0,0,3,0.0,0.0,False,-0.0003769915783777833
5195,1,Non-White,1,0,0,0,3,0.0,0.0,False,-0.0003769915783777833
338,1,Non-White,1,0,0,0,3,0.0,1.0,False,-0.00038659328129142523
97,1,Non-White,1,0,0,0,3,0.0,1.0,False,-0.00038659328129142523
1978,1,Non-White,1,0,0,0,3,0.0,1.0,False,-0.00038659328129142523
5589,1,White,1,0,0,0,5,4.0,1.0,False,0.0003918401198461652
5399,1,Non-White,1,0,0,0,2,1.0,51.0,False,0.0003966384974773973
4948,1,White,1,0,0,0,9,2.0,1.0,True,0.00039964914321899414
1020,1,White,1,0,0,0,0,0.0,158.0,False,0.0004178652889095247
5362,1,Non-White,0,0,0,0,1,18.0,17.0,False,0.00041868467815220356
2191,1,Non-White,1,0,0,0,3,1.0,60.0,False,-0.0004212298081256449
5032,1,Non-White,1,0,0,0,2,1.0,47.0,False,0.0004229485639370978
841,1,Non-White,1,0,0,0,2,1.0,47.0,False,0.0004229485639370978
4397,1,White,1,0,0,0,1,0.0,62.0,False,0.00043493538396432996
996,1,White,1,0,0,0,2,1.0,43.0,False,0.00044824619544669986
4657,1,Non-White,1,0,0,0,8,1.0,9.0,True,0.00045107014011591673
4357,1,White,1,0,0,0,8,1.0,4.0,True,0.0004780283197760582
4431,1,Non-White,1,0,0,0,8,1.0,3.0,True,0.0004832532722502947
5649,1,White,1,0,0,0,3,0.0,11.0,False,-0.00048674538265913725
2954,1,Non-White,1,0,0,0,8,1.0,2.0,True,0.0004884232766926289
4646,1,Non-White,1,0,0,0,8,1.0,1.0,True,0.0004935385659337044
6103,1,White,1,0,0,0,8,1.0,1.0,True,0.0004935385659337044
2313,1,Non-White,1,0,0,0,8,1.0,1.0,True,0.0004935385659337044
4772,1,Non-White,1,0,0,0,8,1.0,1.0,True,0.0004935385659337044
124,1,Non-White,1,0,0,0,8,1.0,1.0,True,0.0004935385659337044
5874,1,Non-White,1,0,0,0,1,0.0,52.0,False,0.0004949216381646693
1245,0,White,1,0,0,0,1,1.0,170.0,False,-0.0005010794848203659
33,0,Non-White,1,2,1,3,21,0.0,33.0,False,0.0005339435301721096
4858,1,Non-White,0,0,0,2,6,1.0,1.0,True,-0.0005581412115134299
5954,1,Non-White,1,0,0,0,4,1.0,1.0,False,-0.0005633920663967729
5582,1,Non-White,1,0,0,0,4,1.0,1.0,False,-0.0005633920663967729
4601,1,White,1,0,0,0,4,1.0,1.0,False,-0.0005633920663967729
1120,1,Non-White,1,0,0,0,4,1.0,1.0,False,-0.0005633920663967729
404,1,White,1,0,0,0,4,1.0,1.0,False,-0.0005633920663967729
6157,1,Non-White,1,0,0,0,4,1.0,1.0,False,-0.0005633920663967729
4897,1,White,1,0,0,0,4,1.0,1.0,False,-0.0005633920663967729
1773,1,Non-White,1,0,0,0,4,1.0,1.0,False,-0.0005633920663967729
349,1,Non-White,1,0,0,0,7,0.0,1.0,True,0.0005712069105356932
4682,1,Non-White,1,0,0,0,4,1.0,2.0,False,-0.0005744151421822608
5529,1,Non-White,1,0,0,0,4,1.0,3.0,False,-0.0005855191266164184
1169,1,Non-White,1,0,0,0,2,1.0,15.0,False,0.0005988851189613342
2997,1,Non-White,0,0,2,1,3,1.0,1.0,True,0.0006056147394701838
2575,1,White,1,0,0,0,4,1.0,5.0,False,-0.0006079738377593458
2142,1,Non-White,1,0,0,0,2,1.0,12.0,False,0.0006124658975750208
1736,1,Non-White,1,0,0,0,2,1.0,10.0,False,0.0006212631706148386
6085,1,White,1,0,0,0,2,1.0,10.0,False,0.0006212631706148386
3498,1,White,1,0,0,0,2,1.0,9.0,False,0.0006255853222683072
2135,1,Non-White,1,0,0,0,2,1.0,8.0,False,0.0006298570660874248
4753,1,White,1,0,0,0,2,1.0,8.0,False,0.0006298570660874248
256,1,Non-White,1,0,0,0,2,1.0,8.0,False,0.0006298570660874248
322,1,Non-White,1,0,0,0,2,1.0,5.0,False,0.0006423749728128314
5096,1,White,1,0,0,0,2,1.0,5.0,False,0.0006423749728128314
921,1,Non-White,1,0,0,0,1,0.0,19.0,False,0.0006529603851959109
4691,1,Non-White,1,0,0,0,2,1.0,2.0,False,0.0006544511415995657
2629,1,White,1,0,0,0,2,1.0,2.0,False,0.0006544511415995657
1227,1,Non-White,1,0,0,0,2,1.0,2.0,False,0.0006544511415995657
1091,1,Non-White,1,0,0,0,2,1.0,2.0,False,0.0006544511415995657
3158,1,Non-White,1,0,0,0,2,1.0,2.0,False,0.0006544511415995657
4436,1,Non-White,1,0,0,0,2,1.0,1.0,False,0.0006583799258805811
3971,1,Non-White,1,0,0,0,2,1.0,1.0,False,0.0006583799258805811
323,1,Non-White,1,0,0,0,2,1.0,1.0,False,0.0006583799258805811
1115,1,White,1,0,0,0,2,1.0,1.0,False,0.0006583799258805811
3852,1,Non-White,1,0,0,0,2,1.0,1.0,False,0.0006583799258805811
178,1,Non-White,1,0,0,0,2,1.0,1.0,False,0.0006583799258805811
3380,1,White,1,0,0,0,2,1.0,1.0,False,0.0006583799258805811
1546,1,Non-White,1,0,0,0,2,1.0,1.0,False,0.0006583799258805811
4723,1,Non-White,1,0,0,0,2,1.0,1.0,False,0.0006583799258805811
2453,1,Non-White,1,0,0,0,2,1.0,1.0,False,0.0006583799258805811
5723,1,Non-White,1,0,0,0,2,1.0,1.0,False,0.0006583799258805811
3680,1,Non-White,1,0,0,0,2,1.0,1.0,False,0.0006583799258805811
3299,1,Non-White,1,0,0,0,2,1.0,1.0,False,0.0006583799258805811
4390,1,Non-White,1,0,0,0,2,1.0,1.0,False,0.0006583799258805811
5109,1,White,1,0,0,0,2,1.0,1.0,False,0.0006583799258805811
1381,1,Non-White,1,0,0,0,2,1.0,1.0,False,0.0006583799258805811
1975,1,White,1,0,0,0,2,1.0,1.0,False,0.0006583799258805811
1330,1,White,1,0,0,0,2,1.0,0.0,False,0.0006622608052566648
2119,1,White,0,0,1,1,1,1.0,1.0,True,0.0006624761736020446
5326,1,Non-White,1,0,0,0,7,1.0,198.0,True,-0.0006763502024114132
2540,1,White,0,0,0,0,3,21.0,26.0,False,0.000688674917910248
4963,1,White,1,0,0,0,1,0.0,9.0,False,0.0006900063017383218
3474,0,Non-White,1,0,0,0,0,1.0,749.0,True,0.0007021143101155758
1511,1,Non-White,1,0,0,0,3,1.0,83.0,False,-0.0007099148351699114
860,1,Non-White,1,0,0,0,1,0.0,2.0,False,0.0007132444297894835
5245,1,White,1,0,0,0,1,0.0,2.0,False,0.0007132444297894835
2595,1,White,1,0,0,0,1,0.0,2.0,False,0.0007132444297894835
1502,1,Non-White,1,0,0,0,1,0.0,2.0,False,0.0007132444297894835
1784,1,Non-White,1,0,0,0,1,0.0,1.0,False,0.0007163903210312128
98,1,White,1,0,0,0,1,0.0,1.0,False,0.0007163903210312128
5995,1,Non-White,1,0,0,0,1,0.0,0.0,False,0.0007194932550191879
1420,1,White,1,0,0,0,1,0.0,0.0,False,0.0007194932550191879
4999,1,White,1,0,0,0,1,0.0,0.0,False,0.0007194932550191879
6102,1,Non-White,1,0,0,0,4,1.0,17.0,False,-0.0007497362093999982
1294,0,Non-White,0,0,4,4,14,1.0,83.0,False,-0.0007758811116218567
2710,1,White,0,0,0,0,1,8.0,3.0,True,-0.0007823404157534242
983,0,Non-White,1,2,1,0,9,1.0,1.0,True,-0.000793803483247757
3246,0,Non-White,0,0,0,4,8,1.0,215.0,False,-0.0007945296820253134
2209,0,White,1,0,0,0,3,1.0,2.0,False,-0.0008403945248574018
1173,1,Non-White,0,0,0,0,3,21.0,1.0,False,0.000840641965623945
2581,0,Non-White,1,0,0,0,2,0.0,19.0,False,-0.0008434227202087641
4172,1,Non-White,1,0,0,0,1,1.0,78.0,False,0.0008475810172967613
2765,0,Non-White,1,0,0,0,3,1.0,1.0,False,-0.0008970587514340878
1212,1,White,1,0,0,0,1,1.0,65.0,False,0.0009046546183526516
4754,1,Non-White,0,0,0,0,1,19.0,18.0,False,0.0009175330051220953
1619,1,Non-White,1,0,0,0,1,1.0,61.0,False,0.0009203755180351436
4294,1,White,1,0,0,0,1,1.0,58.0,False,0.0009316212963312864
406,1,Non-White,1,0,0,0,4,1.0,32.0,False,-0.0009447145275771618
1288,1,Non-White,1,0,0,0,7,1.0,2.0,True,0.000953473849222064
1722,1,Non-White,1,0,0,0,7,1.0,1.0,True,0.0009556959848850965
1538,1,Non-White,1,0,0,0,7,1.0,1.0,True,0.0009556959848850965
4358,1,White,1,0,0,0,1,1.0,51.0,False,0.0009561030892655253
4199,1,Non-White,1,0,0,0,4,4.0,2.0,False,0.0009561106562614441
3990,1,White,1,0,0,0,4,1.0,33.0,False,-0.0009584467043168843
4123,1,Non-White,1,0,0,0,0,0.0,65.0,False,0.000963557162322104
6122,1,Non-White,1,0,0,0,5,0.0,151.0,True,0.0009746162686496973
2261,1,Non-White,1,0,1,0,3,0.0,1.0,False,0.0009815824450924993
5460,1,Non-White,1,0,0,0,0,0.0,58.0,False,0.0009845979511737823
5541,1,Non-White,1,0,1,0,3,0.0,0.0,False,0.0009879113640636206
1493,1,White,1,0,1,0,3,0.0,0.0,False,0.0009879113640636206
3881,1,White,1,0,0,0,1,1.0,39.0,False,0.0009926017373800278
2896,1,White,1,0,0,0,1,1.0,39.0,False,0.0009926017373800278
