,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree,influences,prediction
2849,1,Non-White,1,0,0,0,3,1.0,16.0,False,7.88859324529767e-06,0.89074475
1981,1,White,1,0,0,0,4,2.0,1.0,False,-8.89546936377883e-06,0.9592748
85,1,Non-White,0,0,0,0,1,10.0,9.0,True,1.2725475244224072e-05,0.76215065
3382,1,White,1,0,0,0,3,1.0,14.0,False,2.397497883066535e-05,0.6467035
2781,1,Non-White,1,0,0,0,3,1.0,14.0,False,2.397497883066535e-05,0.81001
4046,1,White,1,0,0,0,3,1.0,12.0,False,3.978871973231435e-05,0.6399889
2677,1,Non-White,1,0,1,0,5,1.0,1.0,False,-4.540232475847006e-05,0.88620526
5415,1,White,1,0,0,0,3,1.0,7.0,False,7.814966375008225e-05,0.58299744
2391,1,White,1,0,0,0,2,0.0,23.0,False,8.576654363423586e-05,0.9597245
3073,1,Non-White,1,0,0,0,3,1.0,4.0,False,0.00010037608444690704,0.9592748
2386,1,Non-White,0,0,0,0,0,16.0,31.0,False,-0.00010398065205663443,0.9173748
4252,1,White,1,0,0,0,9,1.0,1.0,True,-0.00010550930164754391,0.9666323
2971,1,Non-White,1,1,0,0,8,1.0,2.0,True,0.00010573491454124451,0.88248724
469,1,Non-White,1,0,0,0,3,1.0,3.0,False,0.00010765535989776254,0.89400774
3491,1,Non-White,1,0,0,0,3,1.0,3.0,False,0.00010765535989776254,0.62586653
2718,1,Non-White,1,0,0,0,3,1.0,30.0,False,-0.00011260580504313111,0.8481378
5519,1,Non-White,1,0,0,0,3,1.0,2.0,False,0.00011487060692161322,0.755057
3553,1,Non-White,1,0,0,0,3,1.0,2.0,False,0.00011487060692161322,0.8481378
2942,1,White,1,0,0,0,3,1.0,2.0,False,0.00011487060692161322,0.9592748
5208,1,Non-White,0,0,0,1,0,1.0,1.0,True,-0.0001217016251757741,0.94983935
1396,1,White,0,0,0,1,0,1.0,1.0,True,-0.0001217016251757741,0.9173748
5436,1,Non-White,0,0,0,1,0,1.0,1.0,True,-0.0001217016251757741,0.84082234
2983,1,White,0,0,0,1,0,1.0,1.0,True,-0.0001217016251757741,0.89400774
3714,1,White,0,0,0,1,0,1.0,1.0,True,-0.0001217016251757741,0.9173748
5187,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456,0.6721037
1056,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456,0.7705417
5963,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456,0.7705417
1003,1,Non-White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456,0.5955156
718,1,Non-White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456,0.8650048
4975,1,Non-White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456,0.9531218
5530,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456,0.9592748
3497,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456,0.9677852
1448,1,Non-White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456,0.60675216
4992,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456,0.757486
1988,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456,0.9592748
937,1,White,1,0,0,0,3,1.0,1.0,False,0.00012202217476442456,0.028810766
