,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree,influences
528,1,Non-White,1,0,0,0,1,27.0,0.0,True,0.027343549
3163,1,White,1,0,0,0,1,30.0,29.0,True,0.029065803
1271,1,White,1,0,0,0,1,23.0,1.0,True,0.030436024
2481,1,White,1,0,0,0,1,22.0,0.0,True,0.03107582
5057,1,White,1,0,0,0,1,22.0,1.0,True,0.031223483
2321,1,Non-White,1,0,0,0,1,21.0,10.0,True,0.03342458
2973,1,Non-White,1,0,0,0,3,27.0,1.0,True,0.033578657
348,1,White,1,0,0,0,2,23.0,1.0,True,0.033642232
3518,1,Non-White,1,0,0,0,3,28.0,15.0,True,0.034973644
3150,1,White,1,0,0,0,3,25.0,0.0,True,0.035165347
3800,1,White,1,0,0,0,1,17.0,4.0,True,0.035970755
5280,1,Non-White,1,0,0,0,3,21.0,2.0,True,0.03928954
1811,1,Non-White,1,0,0,0,4,26.0,8.0,True,0.039329097
5100,1,White,1,0,0,0,2,15.0,1.0,True,0.041211233
3464,1,Non-White,1,0,0,0,1,12.0,8.0,True,0.04160224
6014,1,White,1,0,0,0,4,27.0,26.0,True,0.04172784
6136,1,White,1,0,0,0,0,7.0,3.0,True,0.04175569
4256,1,Non-White,1,0,0,0,2,17.0,17.0,True,0.042233676
2474,1,Non-White,1,0,0,0,1,11.0,11.0,True,0.043268755
1012,1,Non-White,1,0,0,0,0,4.0,0.0,True,0.044408023
471,1,White,1,0,0,0,1,9.0,6.0,True,0.044452578
5877,1,White,1,0,0,0,0,4.0,1.0,True,0.04461606
2582,1,White,1,0,0,0,0,4.0,1.0,True,0.04461606
1645,1,White,1,0,0,0,0,3.0,1.0,True,0.045752406
3392,1,White,1,0,0,0,0,3.0,1.0,True,0.045752406
5398,1,Non-White,1,0,0,0,0,3.0,1.0,True,0.045752406
3774,1,Non-White,1,0,0,0,0,3.0,1.0,True,0.045752406
5899,1,White,1,0,0,0,0,3.0,1.0,True,0.045752406
4332,1,Non-White,1,0,0,0,0,3.0,1.0,True,0.045752406
3215,1,White,1,0,0,0,0,3.0,1.0,True,0.045752406
5455,1,White,1,0,0,0,0,3.0,1.0,True,0.045752406
4459,1,White,1,0,0,0,4,18.0,1.0,True,0.046567783
3370,1,White,1,0,0,0,3,16.0,12.0,True,0.046704277
5101,1,White,1,0,0,0,2,12.0,12.0,True,0.04679136
5648,1,White,1,0,0,0,0,2.0,1.0,True,0.046916142
84,1,Non-White,1,0,0,0,0,2.0,1.0,True,0.046916142
2921,1,White,1,0,0,0,0,2.0,1.0,True,0.046916142
1635,1,Non-White,1,0,0,0,0,2.0,1.0,True,0.046916142
341,1,White,1,0,0,0,0,2.0,1.0,True,0.046916142
2344,1,Non-White,1,0,0,0,0,2.0,1.0,True,0.046916142
3691,1,White,1,0,0,0,0,1.0,0.0,True,0.047884524
659,1,White,1,0,0,0,0,1.0,0.0,True,0.047884524
4634,1,Non-White,1,0,0,0,0,1.0,0.0,True,0.047884524
4935,1,White,1,0,0,0,0,1.0,0.0,True,0.047884524
5005,1,White,1,0,0,0,0,1.0,1.0,True,0.04810798
3790,1,White,1,0,0,0,0,1.0,1.0,True,0.04810798
883,1,Non-White,1,0,0,0,0,1.0,1.0,True,0.04810798
2593,1,Non-White,1,0,0,0,0,1.0,1.0,True,0.04810798
1366,1,Non-White,1,0,0,0,0,1.0,1.0,True,0.04810798
4667,1,White,1,0,0,0,0,1.0,1.0,True,0.04810798
280,1,White,1,0,0,0,0,1.0,1.0,True,0.04810798
2162,1,White,1,0,0,0,0,1.0,1.0,True,0.04810798
5782,1,Non-White,1,0,0,0,0,1.0,1.0,True,0.04810798
2113,1,White,1,0,0,0,0,1.0,1.0,True,0.04810798
4917,1,Non-White,1,0,0,0,0,1.0,1.0,True,0.04810798
1588,1,White,1,0,0,0,0,1.0,1.0,True,0.04810798
3071,1,Non-White,1,0,0,0,0,1.0,1.0,True,0.04810798
5825,1,White,1,0,0,0,0,1.0,1.0,True,0.04810798
889,1,White,1,0,0,0,0,1.0,1.0,True,0.04810798
6092,1,Non-White,1,0,0,0,0,1.0,1.0,True,0.04810798
