,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree,influences,prediction
528,1,Non-White,1,0,0,0,1,27.0,0.0,True,0.027343549,0.86129373
3163,1,White,1,0,0,0,1,30.0,29.0,True,0.029065803,0.44683236
1271,1,White,1,0,0,0,1,23.0,1.0,True,0.030436024,0.65624696
2481,1,White,1,0,0,0,1,22.0,0.0,True,0.03107582,0.80481845
5057,1,White,1,0,0,0,1,22.0,1.0,True,0.031223483,0.89715517
2321,1,Non-White,1,0,0,0,1,21.0,10.0,True,0.03342458,0.7818315
2973,1,Non-White,1,0,0,0,3,27.0,1.0,True,0.033578657,0.73634946
348,1,White,1,0,0,0,2,23.0,1.0,True,0.033642232,0.95092124
3518,1,Non-White,1,0,0,0,3,28.0,15.0,True,0.034973644,0.8617312
3150,1,White,1,0,0,0,3,25.0,0.0,True,0.035165347,0.7603848
3800,1,White,1,0,0,0,1,17.0,4.0,True,0.035970755,0.93898064
5280,1,Non-White,1,0,0,0,3,21.0,2.0,True,0.03928954,0.7183962
1811,1,Non-White,1,0,0,0,4,26.0,8.0,True,0.039329097,0.62423986
5100,1,White,1,0,0,0,2,15.0,1.0,True,0.041211233,0.983827
3464,1,Non-White,1,0,0,0,1,12.0,8.0,True,0.04160224,0.50544435
6014,1,White,1,0,0,0,4,27.0,26.0,True,0.04172784,0.759681
6136,1,White,1,0,0,0,0,7.0,3.0,True,0.04175569,0.71002626
4256,1,Non-White,1,0,0,0,2,17.0,17.0,True,0.042233676,0.9592748
2474,1,Non-White,1,0,0,0,1,11.0,11.0,True,0.043268755,0.74004334
1012,1,Non-White,1,0,0,0,0,4.0,0.0,True,0.044408023,0.7705417
471,1,White,1,0,0,0,1,9.0,6.0,True,0.044452578,0.8650048
5877,1,White,1,0,0,0,0,4.0,1.0,True,0.04461606,0.76215065
2582,1,White,1,0,0,0,0,4.0,1.0,True,0.04461606,0.90634274
1645,1,White,1,0,0,0,0,3.0,1.0,True,0.045752406,0.8601289
3392,1,White,1,0,0,0,0,3.0,1.0,True,0.045752406,0.84707576
5398,1,Non-White,1,0,0,0,0,3.0,1.0,True,0.045752406,0.70680934
