,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree,influences
5420,1,Non-White,1,0,0,0,6,0.0,1.0,False,-0.00017855968326330185
3579,1,White,1,0,0,0,6,0.0,1.0,False,-0.00017855968326330185
822,1,Non-White,1,0,0,0,4,1.0,79.0,True,-0.0002115077804774046
1309,1,White,1,0,0,0,6,0.0,0.0,False,0.00021338369697332382
5636,1,Non-White,1,0,0,0,6,0.0,0.0,False,0.00021338369697332382
3245,1,White,1,0,0,0,6,0.0,2.0,False,-0.0005736416205763817
4792,1,White,1,0,0,0,7,8.0,8.0,True,-0.0005748891271650791
5090,1,Non-White,1,0,0,0,4,1.0,75.0,True,0.0006343917921185493
4537,0,White,1,0,0,0,6,0.0,0.0,False,-0.0009911954402923584
717,1,Non-White,1,0,0,0,6,1.0,20.0,False,-0.0010951869189739227
1363,1,White,1,0,0,0,5,1.0,21.0,True,-0.001239751698449254
3942,1,Non-White,0,0,0,0,2,0.0,14.0,False,-0.0014023981057107449
3147,1,White,1,0,0,0,5,1.0,6.0,True,0.0014770908746868372
1455,1,Non-White,1,0,0,0,6,0.0,5.0,False,-0.0017778817564249039
4234,1,White,1,0,0,0,5,1.0,4.0,True,0.0018123560585081577
5516,1,White,0,0,0,0,1,0.0,3.0,True,0.0019442271441221237
4551,1,Non-White,1,0,0,0,5,1.0,3.0,True,0.0019776951521635056
3168,1,Non-White,1,0,0,0,5,1.0,2.0,True,0.00214151619002223
854,1,Non-White,0,0,0,0,1,0.0,2.0,True,0.0022577419877052307
5295,1,Non-White,0,0,0,0,2,1.0,32.0,False,-0.002296393271535635
5923,1,Non-White,1,0,0,0,5,1.0,1.0,True,0.002303832210600376
1574,1,White,1,0,0,0,5,1.0,1.0,True,0.002303832210600376
3018,1,Non-White,1,0,0,0,5,1.0,1.0,True,0.002303832210600376
5668,1,White,1,0,0,0,5,1.0,1.0,True,0.002303832210600376
1672,1,Non-White,1,0,0,0,5,1.0,0.0,True,0.002464651595801115
1065,1,White,1,0,0,0,5,1.0,0.0,True,0.002464651595801115
2863,1,White,0,0,0,0,1,0.0,1.0,True,0.002568621188402176
3912,1,White,0,0,0,0,1,0.0,1.0,True,0.002568621188402176
1558,1,Non-White,0,0,0,0,1,0.0,0.0,True,0.0028768740594387054
277,1,Non-White,0,0,0,0,1,0.0,0.0,True,0.0028768740594387054
5777,1,Non-White,0,0,0,0,1,0.0,0.0,True,0.0028768740594387054
2392,1,Non-White,0,0,0,0,1,0.0,0.0,True,0.0028768740594387054
5119,1,Non-White,0,0,0,0,2,1.0,33.0,False,-0.0029977262020111084
1217,1,Non-White,1,0,0,0,4,0.0,36.0,True,0.004690914880484343
496,1,White,0,0,0,0,1,1.0,10.0,True,0.005018396303057671
1001,1,Non-White,1,0,0,0,6,1.0,4.0,False,0.005067717283964157
907,1,Non-White,0,0,0,0,2,1.0,21.0,False,0.005115624517202377
4712,1,Non-White,1,0,0,0,6,1.0,3.0,False,0.005426791496574879
2770,1,Non-White,0,0,1,0,2,6.0,1.0,False,0.005508290603756905
1371,1,Non-White,1,0,0,0,6,1.0,2.0,False,0.005782873369753361
2457,1,Non-White,1,0,0,0,6,1.0,2.0,False,0.005782873369753361
2835,1,Non-White,1,0,0,0,6,1.0,2.0,False,0.005782873369753361
384,1,White,1,0,0,0,6,1.0,2.0,False,0.005782873369753361
4058,1,Non-White,0,0,0,0,2,0.0,3.0,False,0.005796157289296389
5973,1,Non-White,1,0,0,0,3,1.0,115.0,True,0.005900803953409195
4745,1,Non-White,0,0,0,0,3,6.0,2.0,True,-0.006130465772002935
2285,1,Non-White,1,0,0,0,6,1.0,1.0,False,0.006136003881692886
4746,1,White,1,0,0,0,6,1.0,1.0,False,0.006136003881692886
4827,1,Non-White,1,0,0,0,6,1.0,1.0,False,0.006136003881692886
4906,1,Non-White,0,0,0,0,8,23.0,3.0,False,0.006287567317485809
1521,1,White,1,0,0,0,5,1.0,65.0,False,0.006900987587869167
2486,1,Non-White,0,0,0,0,2,0.0,1.0,False,0.0070470599457621574
2550,1,Non-White,0,0,0,0,1,1.0,2.0,True,0.007314654067158699
4497,1,Non-White,0,0,0,0,1,1.0,2.0,True,0.007314654067158699
807,1,Non-White,0,0,0,0,1,1.0,2.0,True,0.007314654067158699
3601,1,Non-White,0,0,0,0,1,1.0,2.0,True,0.007314654067158699
3974,1,White,1,0,0,0,4,0.0,17.0,True,0.007551165297627449
219,1,Non-White,0,0,0,0,1,1.0,1.0,True,0.007590455934405327
746,1,Non-White,0,0,0,0,1,1.0,1.0,True,0.007590455934405327
2221,1,White,0,0,0,0,1,1.0,1.0,True,0.007590455934405327
2799,1,White,0,0,0,0,1,1.0,1.0,True,0.007590455934405327
1618,1,Non-White,0,0,0,0,1,1.0,1.0,True,0.007590455934405327
5535,1,Non-White,0,0,0,0,1,1.0,1.0,True,0.007590455934405327
5879,1,White,0,0,0,0,1,1.0,1.0,True,0.007590455934405327
1229,1,Non-White,0,0,0,0,1,1.0,1.0,True,0.007590455934405327
2722,1,Non-White,0,0,0,0,1,1.0,1.0,True,0.007590455934405327
5640,1,White,0,0,0,0,1,1.0,1.0,True,0.007590455934405327
5046,1,Non-White,0,0,0,0,1,1.0,1.0,True,0.007590455934405327
421,1,White,0,0,0,0,1,1.0,1.0,True,0.007590455934405327
5914,1,White,0,0,0,0,1,1.0,1.0,True,0.007590455934405327
681,1,White,0,0,0,0,2,0.0,0.0,False,0.007665921933948994
5395,1,White,0,0,0,0,2,0.0,0.0,False,0.007665921933948994
2244,1,White,1,0,0,0,4,1.0,31.0,True,0.008143102750182152
3789,1,Non-White,1,0,0,0,2,1.0,259.0,False,0.008256301283836365
1691,1,Non-White,1,0,0,0,4,1.0,30.0,True,0.008279155939817429
712,1,Non-White,1,0,0,0,4,1.0,28.0,True,0.008547092787921429
5922,1,Non-White,0,0,1,0,1,1.0,2.0,False,-0.00881857518106699
2226,1,Non-White,1,0,0,0,4,0.0,1.0,True,0.009567586705088615
3470,1,Non-White,1,0,0,0,4,0.0,1.0,True,0.009567586705088615
3010,1,White,1,0,0,0,3,1.0,191.0,False,0.009650054387748241
4562,1,Non-White,1,0,0,0,4,0.0,0.0,True,0.009682608768343925
4052,1,Non-White,1,0,0,0,6,1.0,1.0,True,-0.009788894094526768
5257,1,Non-White,1,0,0,0,6,1.0,1.0,True,-0.009788894094526768
1042,1,Non-White,1,0,0,0,6,1.0,1.0,True,-0.009788894094526768
2677,1,Non-White,1,0,1,0,5,1.0,1.0,False,-0.009889418259263039
1104,1,White,1,0,0,0,12,24.0,22.0,True,-0.010318202897906303
1426,1,White,1,0,0,0,8,10.0,9.0,False,0.010569609701633453
4073,1,White,1,0,0,0,4,1.0,11.0,True,0.010609602555632591
4902,1,White,1,0,0,0,12,26.0,13.0,False,0.0110161192715168
4124,1,White,1,0,0,0,4,1.0,4.0,True,0.011353259906172752
2976,1,White,1,0,0,0,3,0.0,63.0,True,0.011425122618675232
892,1,Non-White,1,0,0,0,4,1.0,3.0,True,0.011454756371676922
949,1,Non-White,1,0,0,0,4,1.0,2.0,True,0.011555078439414501
3756,1,White,1,0,0,0,4,1.0,2.0,True,0.011555078439414501
5483,1,Non-White,1,0,0,0,4,1.0,1.0,True,0.011654223315417767
428,1,White,1,0,0,0,4,1.0,1.0,True,0.011654223315417767
5215,1,White,1,0,0,0,4,1.0,1.0,True,0.011654223315417767
1106,1,Non-White,1,0,0,0,4,1.0,1.0,True,0.011654223315417767
5986,1,Non-White,1,0,0,0,4,1.0,1.0,True,0.011654223315417767
49,1,Non-White,1,0,0,0,4,1.0,1.0,True,0.011654223315417767
5837,1,Non-White,1,0,0,0,6,1.0,9.0,True,-0.011757301166653633
2821,1,White,0,0,0,0,2,1.0,10.0,False,0.011984777636826038
6077,1,Non-White,0,0,0,0,2,1.0,10.0,False,0.011984777636826038
2218,1,White,1,0,0,0,6,1.0,10.0,True,-0.012012192979454994
4696,1,White,0,0,0,0,1,2.0,1.0,True,0.012167485430836678
5054,1,White,0,0,0,0,1,2.0,1.0,True,0.012167485430836678
997,1,Non-White,0,0,0,0,1,1.0,58.0,True,-0.0124678248539567
3933,1,White,0,0,0,0,2,1.0,9.0,False,0.012582934461534023
5915,1,Non-White,1,0,0,0,3,1.0,70.0,True,0.013013957068324089
1294,0,Non-White,0,0,4,4,14,1.0,83.0,False,-0.013221889734268188
5882,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.013374203816056252
3775,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.013374203816056252
2471,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.013374203816056252
3263,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.013374203816056252
37,1,White,0,0,0,0,2,1.0,1.0,True,-0.013374203816056252
6117,1,Non-White,0,0,0,0,2,1.0,1.0,True,-0.013374203816056252
4347,1,White,0,0,0,0,2,1.0,1.0,True,-0.013374203816056252
2962,1,White,0,0,0,0,2,1.0,2.0,True,-0.01377496961504221
3456,1,White,0,0,0,0,5,12.0,2.0,True,-0.014016203582286835
835,1,Non-White,0,0,0,0,2,1.0,6.0,False,0.014351523481309414
4485,1,Non-White,0,0,0,0,2,1.0,4.0,True,-0.014585582539439201
1256,1,Non-White,0,0,0,0,2,1.0,49.0,False,-0.014858588576316833
992,1,Non-White,1,0,0,0,4,3.0,2.0,True,0.015115813352167606
2241,1,Non-White,0,0,0,0,0,1.0,42.0,True,0.015306048095226288
2654,1,Non-White,0,0,0,0,2,1.0,6.0,True,-0.015408414416015148
4876,1,Non-White,0,0,0,0,2,1.0,4.0,False,0.01550914067775011
5588,1,Non-White,0,0,0,0,2,1.0,4.0,False,0.01550914067775011
2423,1,Non-White,0,0,0,0,2,1.0,4.0,False,0.01550914067775011
3298,1,Non-White,0,0,0,0,2,1.0,2.0,False,0.01664973422884941
5440,1,Non-White,0,0,0,0,2,1.0,2.0,False,0.01664973422884941
3572,1,Non-White,0,0,0,0,2,1.0,2.0,False,0.01664973422884941
633,0,Non-White,0,0,0,0,1,0.0,0.0,True,-0.0170460045337677
5148,1,Non-White,1,0,0,0,3,0.0,5.0,True,0.017050791531801224
464,1,White,0,0,0,0,2,1.0,1.0,False,0.01721368543803692
3425,1,White,0,0,0,0,2,1.0,1.0,False,0.01721368543803692
5164,1,Non-White,0,0,0,0,2,1.0,1.0,False,0.01721368543803692
4119,1,Non-White,0,0,0,0,2,1.0,1.0,False,0.01721368543803692
3258,1,White,0,0,0,0,2,1.0,1.0,False,0.01721368543803692
2229,1,White,0,0,0,0,2,1.0,1.0,False,0.01721368543803692
6083,1,Non-White,0,0,0,0,2,1.0,1.0,False,0.01721368543803692
3565,1,White,0,0,0,0,2,1.0,1.0,False,0.01721368543803692
1466,1,Non-White,0,0,0,0,2,1.0,1.0,False,0.01721368543803692
798,1,Non-White,0,0,0,0,2,1.0,1.0,False,0.01721368543803692
2823,1,Non-White,0,0,0,0,2,1.0,1.0,False,0.01721368543803692
4112,1,Non-White,0,0,0,0,2,1.0,1.0,False,0.01721368543803692
364,1,Non-White,0,0,0,0,2,1.0,1.0,False,0.01721368543803692
5098,1,White,0,0,0,0,2,1.0,1.0,False,0.01721368543803692
3283,1,Non-White,0,0,0,0,2,1.0,1.0,False,0.01721368543803692
370,1,Non-White,0,0,0,0,2,1.0,1.0,False,0.01721368543803692
3098,1,Non-White,0,0,0,0,2,1.0,1.0,False,0.01721368543803692
5495,1,Non-White,0,0,0,0,2,1.0,1.0,False,0.01721368543803692
4684,1,Non-White,0,0,0,0,1,1.0,68.0,False,0.01722700335085392
2434,1,Non-White,1,0,0,0,3,0.0,1.0,True,0.017302148044109344
5423,1,White,1,0,0,0,3,0.0,0.0,True,0.017362628132104874
3259,1,White,1,0,0,0,3,0.0,0.0,True,0.017362628132104874
4748,1,White,1,0,0,0,3,0.0,0.0,True,0.017362628132104874
4800,0,Non-White,0,0,1,0,1,1.0,1.0,False,0.01750854402780533
2067,1,White,1,0,0,0,1,0.0,293.0,False,0.017530472949147224
4395,1,White,1,0,0,0,4,5.0,0.0,True,0.017995787784457207
3669,1,White,1,0,0,0,8,26.0,24.0,True,0.018165085464715958
1835,1,Non-White,0,0,0,0,0,0.0,11.0,True,0.01828383468091488
5029,1,Non-White,1,0,0,0,3,1.0,2.0,True,0.018664367496967316
2560,1,Non-White,1,0,0,0,3,1.0,2.0,True,0.018664367496967316
2149,1,Non-White,1,0,0,0,3,1.0,2.0,True,0.018664367496967316
3722,1,White,1,0,0,0,3,1.0,2.0,True,0.018664367496967316
3724,1,Non-White,1,0,0,0,3,1.0,2.0,True,0.018664367496967316
4615,1,White,1,0,0,0,3,1.0,2.0,True,0.018664367496967316
1553,1,White,1,0,0,0,3,1.0,1.0,True,0.01871241256594658
4048,1,Non-White,1,0,0,0,3,1.0,1.0,True,0.01871241256594658
5857,1,Non-White,1,0,0,0,3,1.0,1.0,True,0.01871241256594658
6147,1,White,1,0,0,0,14,28.0,20.0,False,-0.018720827996730804
1302,1,Non-White,0,0,0,0,2,1.0,14.0,True,-0.01882409304380417
4013,1,Non-White,1,0,0,0,2,1.0,101.0,True,0.019169505685567856
3544,1,Non-White,0,0,0,0,2,1.0,15.0,True,-0.01926528289914131
3072,1,White,1,0,0,0,7,1.0,0.0,False,-0.019429810345172882
