,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree,influences,prediction
5420,1,Non-White,1,0,0,0,6,0.0,1.0,False,-0.00017855968326330185,0.89074475
3579,1,White,1,0,0,0,6,0.0,1.0,False,-0.00017855968326330185,0.9592748
822,1,Non-White,1,0,0,0,4,1.0,79.0,True,-0.0002115077804774046,0.76215065
1309,1,White,1,0,0,0,6,0.0,0.0,False,0.00021338369697332382,0.6467035
5636,1,Non-White,1,0,0,0,6,0.0,0.0,False,0.00021338369697332382,0.81001
3245,1,White,1,0,0,0,6,0.0,2.0,False,-0.0005736416205763817,0.6399889
4792,1,White,1,0,0,0,7,8.0,8.0,True,-0.0005748891271650791,0.88620526
5090,1,Non-White,1,0,0,0,4,1.0,75.0,True,0.0006343917921185493,0.58299744
4537,0,White,1,0,0,0,6,0.0,0.0,False,-0.0009911954402923584,0.9597245
717,1,Non-White,1,0,0,0,6,1.0,20.0,False,-0.0010951869189739227,0.9592748
1363,1,White,1,0,0,0,5,1.0,21.0,True,-0.001239751698449254,0.9173748
3942,1,Non-White,0,0,0,0,2,0.0,14.0,False,-0.0014023981057107449,0.9666323
3147,1,White,1,0,0,0,5,1.0,6.0,True,0.0014770908746868372,0.88248724
1455,1,Non-White,1,0,0,0,6,0.0,5.0,False,-0.0017778817564249039,0.89400774
4234,1,White,1,0,0,0,5,1.0,4.0,True,0.0018123560585081577,0.62586653
5516,1,White,0,0,0,0,1,0.0,3.0,True,0.0019442271441221237,0.8481378
4551,1,Non-White,1,0,0,0,5,1.0,3.0,True,0.0019776951521635056,0.755057
3168,1,Non-White,1,0,0,0,5,1.0,2.0,True,0.00214151619002223,0.8481378
854,1,Non-White,0,0,0,0,1,0.0,2.0,True,0.0022577419877052307,0.9592748
5295,1,Non-White,0,0,0,0,2,1.0,32.0,False,-0.002296393271535635,0.94983935
5923,1,Non-White,1,0,0,0,5,1.0,1.0,True,0.002303832210600376,0.9173748
1574,1,White,1,0,0,0,5,1.0,1.0,True,0.002303832210600376,0.84082234
3018,1,Non-White,1,0,0,0,5,1.0,1.0,True,0.002303832210600376,0.89400774
5668,1,White,1,0,0,0,5,1.0,1.0,True,0.002303832210600376,0.9173748
1672,1,Non-White,1,0,0,0,5,1.0,0.0,True,0.002464651595801115,0.6721037
1065,1,White,1,0,0,0,5,1.0,0.0,True,0.002464651595801115,0.7705417
2863,1,White,0,0,0,0,1,0.0,1.0,True,0.002568621188402176,0.7705417
3912,1,White,0,0,0,0,1,0.0,1.0,True,0.002568621188402176,0.5955156
1558,1,Non-White,0,0,0,0,1,0.0,0.0,True,0.0028768740594387054,0.8650048
277,1,Non-White,0,0,0,0,1,0.0,0.0,True,0.0028768740594387054,0.9531218
5777,1,Non-White,0,0,0,0,1,0.0,0.0,True,0.0028768740594387054,0.9592748
2392,1,Non-White,0,0,0,0,1,0.0,0.0,True,0.0028768740594387054,0.9677852
5119,1,Non-White,0,0,0,0,2,1.0,33.0,False,-0.0029977262020111084,0.60675216
1217,1,Non-White,1,0,0,0,4,0.0,36.0,True,0.004690914880484343,0.757486
496,1,White,0,0,0,0,1,1.0,10.0,True,0.005018396303057671,0.9592748
1001,1,Non-White,1,0,0,0,6,1.0,4.0,False,0.005067717283964157,0.028810766
907,1,Non-White,0,0,0,0,2,1.0,21.0,False,0.005115624517202377,0.62586653
4712,1,Non-White,1,0,0,0,6,1.0,3.0,False,0.005426791496574879,0.8537495
2770,1,Non-White,0,0,1,0,2,6.0,1.0,False,0.005508290603756905,0.9592748
1371,1,Non-White,1,0,0,0,6,1.0,2.0,False,0.005782873369753361,0.86129373
2457,1,Non-White,1,0,0,0,6,1.0,2.0,False,0.005782873369753361,0.847511
2835,1,Non-White,1,0,0,0,6,1.0,2.0,False,0.005782873369753361,0.6484779
384,1,White,1,0,0,0,6,1.0,2.0,False,0.005782873369753361,0.91700584
4058,1,Non-White,0,0,0,0,2,0.0,3.0,False,0.005796157289296389,0.7705417
5973,1,Non-White,1,0,0,0,3,1.0,115.0,True,0.005900803953409195,0.8430639
4745,1,Non-White,0,0,0,0,3,6.0,2.0,True,-0.006130465772002935,0.80926126
2285,1,Non-White,1,0,0,0,6,1.0,1.0,False,0.006136003881692886,0.8533824
4746,1,White,1,0,0,0,6,1.0,1.0,False,0.006136003881692886,0.953554
4827,1,Non-White,1,0,0,0,6,1.0,1.0,False,0.006136003881692886,0.62732995
4906,1,Non-White,0,0,0,0,8,23.0,3.0,False,0.006287567317485809,0.76215065
1521,1,White,1,0,0,0,5,1.0,65.0,False,0.006900987587869167,0.62130517
2486,1,Non-White,0,0,0,0,2,0.0,1.0,False,0.0070470599457621574,0.8440466
2550,1,Non-White,0,0,0,0,1,1.0,2.0,True,0.007314654067158699,0.8627195
4497,1,Non-White,0,0,0,0,1,1.0,2.0,True,0.007314654067158699,0.7183962
807,1,Non-White,0,0,0,0,1,1.0,2.0,True,0.007314654067158699,0.9013108
3601,1,Non-White,0,0,0,0,1,1.0,2.0,True,0.007314654067158699,0.89228654
3974,1,White,1,0,0,0,4,0.0,17.0,True,0.007551165297627449,0.7025435
219,1,Non-White,0,0,0,0,1,1.0,1.0,True,0.007590455934405327,0.74442345
746,1,Non-White,0,0,0,0,1,1.0,1.0,True,0.007590455934405327,0.8876493
2221,1,White,0,0,0,0,1,1.0,1.0,True,0.007590455934405327,0.75389826
2799,1,White,0,0,0,0,1,1.0,1.0,True,0.007590455934405327,0.8519322
1618,1,Non-White,0,0,0,0,1,1.0,1.0,True,0.007590455934405327,0.92522186
