,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree,influences
2269,1,Non-White,1,0,0,0,6,1.0,84.0,False,-0.00038677453994750977
3547,1,Non-White,0,0,0,0,0,4.0,4.0,False,-0.0005781650543212891
5607,1,Non-White,0,0,0,0,0,3.0,0.0,False,0.0007291436195373535
3746,0,White,1,0,0,0,10,1.0,1.0,False,0.001100778579711914
2329,1,White,1,0,0,0,10,1.0,1.0,False,0.001100778579711914
3173,1,Non-White,1,0,0,0,10,1.0,1.0,False,0.001100778579711914
913,1,Non-White,1,0,0,0,10,1.0,1.0,False,0.001100778579711914
5577,1,Non-White,1,0,0,0,10,1.0,1.0,False,0.001100778579711914
2596,1,Non-White,0,0,0,0,0,3.0,1.0,False,0.001674950122833252
3966,1,White,0,0,0,0,0,3.0,1.0,False,0.001674950122833252
2247,1,White,0,0,0,0,0,3.0,1.0,False,0.001674950122833252
2384,1,Non-White,0,0,0,0,0,3.0,1.0,False,0.001674950122833252
6090,1,Non-White,0,0,0,0,0,3.0,1.0,False,0.001674950122833252
2424,1,Non-White,1,0,0,0,8,1.0,40.0,False,-0.001996457576751709
5546,1,Non-White,1,0,0,0,8,1.0,40.0,False,-0.001996457576751709
1100,1,White,0,0,0,0,0,3.0,2.0,False,0.0026230812072753906
5629,1,White,0,0,0,0,0,3.0,2.0,False,0.0026230812072753906
1979,1,White,0,0,0,0,0,4.0,1.0,False,-0.003393232822418213
1834,1,White,0,0,0,0,0,4.0,1.0,False,-0.003393232822418213
2671,0,Non-White,0,0,1,0,3,2.0,1.0,True,0.0035957694053649902
4662,1,Non-White,0,0,0,0,8,1.0,1.0,True,0.004224419593811035
4932,0,Non-White,1,0,0,0,7,1.0,58.0,False,-0.004935562610626221
2412,1,White,0,0,0,2,0,3.0,0.0,False,-0.005108177661895752
3626,1,White,1,0,0,0,13,13.0,7.0,False,0.005665957927703857
1078,1,Non-White,1,0,0,0,1,1.0,184.0,False,-0.0057395100593566895
233,0,Non-White,0,0,1,1,3,1.0,1.0,True,0.005764901638031006
4797,1,White,1,0,0,0,10,1.0,6.0,False,0.005856573581695557
6040,1,Non-White,1,0,0,0,7,1.0,57.0,False,-0.005865752696990967
4383,0,Non-White,0,0,0,2,0,1.0,1.0,False,0.00600433349609375
5065,1,Non-White,0,0,0,2,0,1.0,1.0,False,0.00600433349609375
2315,1,Non-White,0,0,0,2,0,1.0,1.0,False,0.00600433349609375
677,1,White,0,0,0,2,0,1.0,1.0,False,0.00600433349609375
5401,0,Non-White,0,0,0,0,2,10.0,1.0,False,0.006041347980499268
3075,1,Non-White,1,0,0,0,0,1.0,218.0,False,0.006392478942871094
3640,1,Non-White,0,0,0,1,8,0.0,1.0,True,0.006396889686584473
3338,1,Non-White,0,0,0,0,1,6.0,1.0,False,0.006424129009246826
1737,0,Non-White,1,0,0,0,2,1.0,162.0,False,-0.006534159183502197
4403,1,Non-White,1,0,0,0,2,1.0,176.0,False,0.006668508052825928
4816,1,White,0,0,0,1,5,22.0,6.0,False,0.006700873374938965
5616,1,White,0,0,0,0,0,2.0,1.0,False,0.006807267665863037
5545,1,Non-White,0,0,0,0,0,2.0,1.0,False,0.006807267665863037
3876,1,Non-White,0,0,0,0,0,2.0,1.0,False,0.006807267665863037
5097,1,Non-White,0,0,0,0,0,2.0,1.0,False,0.006807267665863037
3176,1,White,1,0,0,0,10,0.0,2.0,False,0.007184505462646484
4853,1,White,1,0,0,0,4,1.0,119.0,False,-0.0071939826011657715
4373,0,White,0,0,0,0,6,1.0,31.0,True,-0.007317483425140381
2779,1,Non-White,1,0,0,0,10,3.0,2.0,False,-0.008033573627471924
4220,0,Non-White,0,0,0,1,1,10.0,10.0,False,-0.008302390575408936
2996,1,Non-White,0,0,0,0,0,5.0,1.0,False,-0.008396744728088379
1135,0,Non-White,0,0,0,2,1,8.0,2.0,False,-0.008616268634796143
1287,1,Non-White,0,0,0,1,0,1.0,1.0,False,0.008993148803710938
1882,1,Non-White,0,0,0,1,0,1.0,1.0,False,0.008993148803710938
689,1,Non-White,0,0,0,1,0,1.0,1.0,False,0.008993148803710938
5976,1,Non-White,0,0,0,1,0,1.0,1.0,False,0.008993148803710938
543,1,Non-White,0,0,0,1,0,1.0,1.0,False,0.008993148803710938
4934,1,White,0,0,0,0,1,11.0,11.0,False,-0.009476661682128906
5263,1,Non-White,1,0,0,0,10,1.0,10.0,False,0.009700596332550049
2320,0,Non-White,0,0,0,1,0,1.0,2.0,False,0.009958028793334961
5025,1,White,0,0,1,1,3,0.0,0.0,True,0.00998079776763916
2396,0,White,0,0,0,0,0,1.0,0.0,False,0.011033594608306885
144,1,Non-White,0,0,0,0,0,1.0,0.0,False,0.011033594608306885
451,1,White,0,0,0,0,0,1.0,0.0,False,0.011033594608306885
3418,1,White,0,0,0,0,0,1.0,0.0,False,0.011033594608306885
4285,1,Non-White,1,0,0,0,9,1.0,9.0,False,-0.011136114597320557
608,0,Non-White,0,0,0,0,1,6.0,6.0,False,0.011241137981414795
1203,1,Non-White,0,0,0,0,1,13.0,44.0,False,0.011530280113220215
5371,1,Non-White,0,0,0,2,0,1.0,7.0,False,0.011785626411437988
1328,1,Non-White,1,0,0,1,10,0.0,10.0,False,0.011901438236236572
2180,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389
610,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389
279,0,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389
2859,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389
3811,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389
3401,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389
2488,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389
2429,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389
5127,0,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389
