,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree,influences,prediction
2269,1,Non-White,1,0,0,0,6,1.0,84.0,False,-0.00038677453994750977,0.86129373
3547,1,Non-White,0,0,0,0,0,4.0,4.0,False,-0.0005781650543212891,0.44683236
5607,1,Non-White,0,0,0,0,0,3.0,0.0,False,0.0007291436195373535,0.65624696
3746,0,White,1,0,0,0,10,1.0,1.0,False,0.001100778579711914,0.80481845
2329,1,White,1,0,0,0,10,1.0,1.0,False,0.001100778579711914,0.89715517
3173,1,Non-White,1,0,0,0,10,1.0,1.0,False,0.001100778579711914,0.7818315
913,1,Non-White,1,0,0,0,10,1.0,1.0,False,0.001100778579711914,0.73634946
5577,1,Non-White,1,0,0,0,10,1.0,1.0,False,0.001100778579711914,0.95092124
2596,1,Non-White,0,0,0,0,0,3.0,1.0,False,0.001674950122833252,0.8617312
3966,1,White,0,0,0,0,0,3.0,1.0,False,0.001674950122833252,0.7603848
2247,1,White,0,0,0,0,0,3.0,1.0,False,0.001674950122833252,0.93898064
2384,1,Non-White,0,0,0,0,0,3.0,1.0,False,0.001674950122833252,0.7183962
6090,1,Non-White,0,0,0,0,0,3.0,1.0,False,0.001674950122833252,0.62423986
2424,1,Non-White,1,0,0,0,8,1.0,40.0,False,-0.001996457576751709,0.983827
5546,1,Non-White,1,0,0,0,8,1.0,40.0,False,-0.001996457576751709,0.50544435
1100,1,White,0,0,0,0,0,3.0,2.0,False,0.0026230812072753906,0.759681
5629,1,White,0,0,0,0,0,3.0,2.0,False,0.0026230812072753906,0.71002626
1979,1,White,0,0,0,0,0,4.0,1.0,False,-0.003393232822418213,0.9592748
1834,1,White,0,0,0,0,0,4.0,1.0,False,-0.003393232822418213,0.74004334
2671,0,Non-White,0,0,1,0,3,2.0,1.0,True,0.0035957694053649902,0.7705417
4662,1,Non-White,0,0,0,0,8,1.0,1.0,True,0.004224419593811035,0.8650048
4932,0,Non-White,1,0,0,0,7,1.0,58.0,False,-0.004935562610626221,0.76215065
2412,1,White,0,0,0,2,0,3.0,0.0,False,-0.005108177661895752,0.90634274
3626,1,White,1,0,0,0,13,13.0,7.0,False,0.005665957927703857,0.8601289
1078,1,Non-White,1,0,0,0,1,1.0,184.0,False,-0.0057395100593566895,0.84707576
233,0,Non-White,0,0,1,1,3,1.0,1.0,True,0.005764901638031006,0.70680934
4797,1,White,1,0,0,0,10,1.0,6.0,False,0.005856573581695557,0.7795588
6040,1,Non-White,1,0,0,0,7,1.0,57.0,False,-0.005865752696990967,0.7425705
4383,0,Non-White,0,0,0,2,0,1.0,1.0,False,0.00600433349609375,0.61391515
5065,1,Non-White,0,0,0,2,0,1.0,1.0,False,0.00600433349609375,0.7705417
2315,1,Non-White,0,0,0,2,0,1.0,1.0,False,0.00600433349609375,0.51626825
677,1,White,0,0,0,2,0,1.0,1.0,False,0.00600433349609375,0.80926126
5401,0,Non-White,0,0,0,0,2,10.0,1.0,False,0.006041347980499268,0.6738701
3075,1,Non-White,1,0,0,0,0,1.0,218.0,False,0.006392478942871094,0.3305281
3640,1,Non-White,0,0,0,1,8,0.0,1.0,True,0.006396889686584473,0.95143366
3338,1,Non-White,0,0,0,0,1,6.0,1.0,False,0.006424129009246826,0.5492558
1737,0,Non-White,1,0,0,0,2,1.0,162.0,False,-0.006534159183502197,0.55134225
4403,1,Non-White,1,0,0,0,2,1.0,176.0,False,0.006668508052825928,0.65963477
4816,1,White,0,0,0,1,5,22.0,6.0,False,0.006700873374938965,0.80851024
5616,1,White,0,0,0,0,0,2.0,1.0,False,0.006807267665863037,0.7306074
5545,1,Non-White,0,0,0,0,0,2.0,1.0,False,0.006807267665863037,0.69180167
3876,1,Non-White,0,0,0,0,0,2.0,1.0,False,0.006807267665863037,0.95908463
5097,1,Non-White,0,0,0,0,0,2.0,1.0,False,0.006807267665863037,0.8650048
3176,1,White,1,0,0,0,10,0.0,2.0,False,0.007184505462646484,0.84625113
4853,1,White,1,0,0,0,4,1.0,119.0,False,-0.0071939826011657715,0.6981724
4373,0,White,0,0,0,0,6,1.0,31.0,True,-0.007317483425140381,0.98223615
2779,1,Non-White,1,0,0,0,10,3.0,2.0,False,-0.008033573627471924,0.8712189
4220,0,Non-White,0,0,0,1,1,10.0,10.0,False,-0.008302390575408936,0.8295786
2996,1,Non-White,0,0,0,0,0,5.0,1.0,False,-0.008396744728088379,0.6492629
1135,0,Non-White,0,0,0,2,1,8.0,2.0,False,-0.008616268634796143,0.92413795
1287,1,Non-White,0,0,0,1,0,1.0,1.0,False,0.008993148803710938,0.9594642
1882,1,Non-White,0,0,0,1,0,1.0,1.0,False,0.008993148803710938,0.80381864
689,1,Non-White,0,0,0,1,0,1.0,1.0,False,0.008993148803710938,0.79556745
5976,1,Non-White,0,0,0,1,0,1.0,1.0,False,0.008993148803710938,0.34986332
543,1,Non-White,0,0,0,1,0,1.0,1.0,False,0.008993148803710938,0.76215065
4934,1,White,0,0,0,0,1,11.0,11.0,False,-0.009476661682128906,0.519503
5263,1,Non-White,1,0,0,0,10,1.0,10.0,False,0.009700596332550049,0.7705417
2320,0,Non-White,0,0,0,1,0,1.0,2.0,False,0.009958028793334961,0.74928
5025,1,White,0,0,1,1,3,0.0,0.0,True,0.00998079776763916,0.94396776
2396,0,White,0,0,0,0,0,1.0,0.0,False,0.011033594608306885,0.8769116
144,1,Non-White,0,0,0,0,0,1.0,0.0,False,0.011033594608306885,0.9533383
451,1,White,0,0,0,0,0,1.0,0.0,False,0.011033594608306885,0.90634274
3418,1,White,0,0,0,0,0,1.0,0.0,False,0.011033594608306885,0.59548926
4285,1,Non-White,1,0,0,0,9,1.0,9.0,False,-0.011136114597320557,0.6897806
608,0,Non-White,0,0,0,0,1,6.0,6.0,False,0.011241137981414795,0.5255391
1203,1,Non-White,0,0,0,0,1,13.0,44.0,False,0.011530280113220215,0.4242928
5371,1,Non-White,0,0,0,2,0,1.0,7.0,False,0.011785626411437988,0.9133686
1328,1,Non-White,1,0,0,1,10,0.0,10.0,False,0.011901438236236572,0.9533383
2180,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.9173748
610,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.76272506
279,0,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.71139395
2859,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.9592748
3811,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.7713996
3401,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.9526858
2488,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.76968163
2429,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.7183962
5127,0,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.73634946
4101,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.9489599
6166,0,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.7705417
4281,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.7637153
774,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.74442345
2212,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.8969439
5719,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.90087783
3404,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.61712784
971,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.32644296
4722,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.5744658
3635,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.5955156
805,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.8724165
1286,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.65807873
5758,0,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.90634274
2764,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.9592748
6028,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.60766834
4118,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.7453466
2842,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.7980988
2499,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.85826015
2260,0,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.7537364
2970,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.67860526
3001,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.76215065
5959,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.76968163
3556,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.8823866
1355,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.7736643
1337,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.8712189
5196,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.68455887
5807,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.73748505
4175,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.9468298
2801,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.7264693
1514,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.7453466
265,0,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.7183962
4419,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.89400774
832,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.21903354
3582,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.86902285
165,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.9426097
4413,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.89400774
5198,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.92156357
1057,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.9133686
1852,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.89400774
3670,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.90634274
564,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.7453466
3479,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.95889354
2122,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.89400774
4440,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.5551832
1393,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.8250905
1274,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.939471
5729,0,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.8763863
977,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.8805907
5143,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.73634946
2195,1,Non-White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.9663127
3636,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.9046801
4104,1,White,0,0,0,0,0,1.0,1.0,False,0.012003123760223389,0.7705417
872,1,Non-White,0,0,0,0,5,1.0,47.0,True,-0.012048959732055664,0.90634274
757,1,Non-White,1,0,0,0,4,0.0,108.0,False,-0.012356579303741455,0.9574041
386,1,Non-White,1,0,0,0,5,1.0,119.0,False,0.012878775596618652,0.8546806
4692,1,Non-White,0,0,0,0,0,1.0,2.0,False,0.012974739074707031,0.9833014
4127,1,Non-White,0,0,0,0,0,1.0,2.0,False,0.012974739074707031,0.7883187
4061,1,White,0,0,0,0,0,1.0,2.0,False,0.012974739074707031,0.47624004
4333,1,Non-White,0,0,0,0,0,1.0,2.0,False,0.012974739074707031,0.953554
2332,1,Non-White,0,0,0,0,0,1.0,2.0,False,0.012974739074707031,0.953554
