,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree,influences
4657,1,Non-White,1,0,0,0,8,1.0,9.0,True,-0.00014526888844557106
340,1,Non-White,0,0,0,0,1,5.0,5.0,True,0.000247446121647954
4357,1,White,1,0,0,0,8,1.0,4.0,True,0.0006374164950102568
4431,1,Non-White,1,0,0,0,8,1.0,3.0,True,0.0007899339543655515
3923,1,White,0,0,0,2,2,1.0,33.0,False,0.0009167594835162163
2954,1,Non-White,1,0,0,0,8,1.0,2.0,True,0.000941121659707278
129,1,White,0,0,0,0,0,2.0,1.0,True,-0.0009609777480363846
3873,1,Non-White,0,0,0,0,0,2.0,1.0,True,-0.0009609777480363846
1612,1,White,0,0,0,0,0,2.0,1.0,True,-0.0009609777480363846
2451,1,Non-White,0,0,0,0,0,2.0,1.0,True,-0.0009609777480363846
4772,1,Non-White,1,0,0,0,8,1.0,1.0,True,0.0010909931734204292
6103,1,White,1,0,0,0,8,1.0,1.0,True,0.0010909931734204292
124,1,Non-White,1,0,0,0,8,1.0,1.0,True,0.0010909931734204292
4646,1,Non-White,1,0,0,0,8,1.0,1.0,True,0.0010909931734204292
2313,1,Non-White,1,0,0,0,8,1.0,1.0,True,0.0010909931734204292
3184,1,White,0,0,0,0,1,11.0,9.0,False,-0.0012015539687126875
4512,0,Non-White,1,0,0,0,8,1.0,10.0,True,0.0022971229627728462
5848,1,White,0,0,0,1,2,0.0,1.0,True,-0.0023714411072432995
6122,1,Non-White,1,0,0,0,5,0.0,151.0,True,0.0026410638820379972
5733,1,Non-White,0,0,0,0,0,3.0,1.0,True,0.0027151836548000574
1827,1,Non-White,1,0,0,0,5,0.0,2.0,False,0.003549338784068823
4580,0,Non-White,1,0,6,5,17,1.0,113.0,False,0.0035902587696909904
2899,1,Non-White,1,0,0,0,5,0.0,1.0,False,0.003750856500118971
1449,1,Non-White,1,0,0,0,5,0.0,1.0,False,0.003750856500118971
6033,1,Non-White,0,0,0,0,1,6.0,5.0,True,0.0038749794475734234
480,1,White,1,0,0,0,5,0.0,0.0,False,0.00395066337659955
4702,1,White,1,0,0,0,5,0.0,0.0,False,0.00395066337659955
1571,1,Non-White,1,0,0,0,10,7.0,5.0,True,0.003972087055444717
5642,1,White,0,0,0,1,0,1.0,1.0,False,-0.003998332656919956
579,1,Non-White,0,0,0,1,0,1.0,1.0,False,-0.003998332656919956
6011,1,Non-White,0,0,0,1,0,1.0,1.0,False,-0.003998332656919956
2285,1,Non-White,1,0,0,0,6,1.0,1.0,False,-0.00431421771645546
4746,1,White,1,0,0,0,6,1.0,1.0,False,-0.00431421771645546
4827,1,Non-White,1,0,0,0,6,1.0,1.0,False,-0.00431421771645546
2835,1,Non-White,1,0,0,0,6,1.0,2.0,False,-0.004564594477415085
2457,1,Non-White,1,0,0,0,6,1.0,2.0,False,-0.004564594477415085
1371,1,Non-White,1,0,0,0,6,1.0,2.0,False,-0.004564594477415085
384,1,White,1,0,0,0,6,1.0,2.0,False,-0.004564594477415085
4948,1,White,1,0,0,0,9,2.0,1.0,True,-0.0047930506989359856
4942,1,White,0,0,0,0,0,1.0,0.0,True,-0.004798036068677902
2378,1,White,0,0,0,0,0,1.0,0.0,True,-0.004798036068677902
1108,1,White,0,0,0,0,0,1.0,0.0,True,-0.004798036068677902
4712,1,Non-White,1,0,0,0,6,1.0,3.0,False,-0.004816905595362186
3278,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
930,1,White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
1499,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
5979,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
5461,1,White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
4479,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
5028,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
2283,1,White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
377,1,White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
3175,1,White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
5214,1,White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
2242,1,White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
2619,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
5736,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
3522,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
500,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
5178,1,White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
3300,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
3160,1,White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
4017,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
3353,1,White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
609,1,White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
2832,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
5584,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
2338,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
5356,1,White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
1839,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
3952,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
2043,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
3781,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
4704,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
3858,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
5917,1,White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
1795,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
157,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
3541,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
4955,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
1195,1,White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
893,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
1213,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
842,1,Non-White,0,0,0,0,0,1.0,1.0,True,-0.004986106418073177
