,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree,influences,prediction
4657,1,Non-White,1,0,0,0,8,1.0,9.0,True,-0.00014526888844557106,0.89074475
340,1,Non-White,0,0,0,0,1,5.0,5.0,True,0.000247446121647954,0.9592748
4357,1,White,1,0,0,0,8,1.0,4.0,True,0.0006374164950102568,0.76215065
4431,1,Non-White,1,0,0,0,8,1.0,3.0,True,0.0007899339543655515,0.6467035
3923,1,White,0,0,0,2,2,1.0,33.0,False,0.0009167594835162163,0.81001
2954,1,Non-White,1,0,0,0,8,1.0,2.0,True,0.000941121659707278,0.6399889
129,1,White,0,0,0,0,0,2.0,1.0,True,-0.0009609777480363846,0.88620526
3873,1,Non-White,0,0,0,0,0,2.0,1.0,True,-0.0009609777480363846,0.58299744
1612,1,White,0,0,0,0,0,2.0,1.0,True,-0.0009609777480363846,0.9597245
2451,1,Non-White,0,0,0,0,0,2.0,1.0,True,-0.0009609777480363846,0.9592748
4772,1,Non-White,1,0,0,0,8,1.0,1.0,True,0.0010909931734204292,0.9173748
6103,1,White,1,0,0,0,8,1.0,1.0,True,0.0010909931734204292,0.9666323
124,1,Non-White,1,0,0,0,8,1.0,1.0,True,0.0010909931734204292,0.88248724
4646,1,Non-White,1,0,0,0,8,1.0,1.0,True,0.0010909931734204292,0.89400774
2313,1,Non-White,1,0,0,0,8,1.0,1.0,True,0.0010909931734204292,0.62586653
3184,1,White,0,0,0,0,1,11.0,9.0,False,-0.0012015539687126875,0.8481378
4512,0,Non-White,1,0,0,0,8,1.0,10.0,True,0.0022971229627728462,0.755057
5848,1,White,0,0,0,1,2,0.0,1.0,True,-0.0023714411072432995,0.8481378
6122,1,Non-White,1,0,0,0,5,0.0,151.0,True,0.0026410638820379972,0.9592748
5733,1,Non-White,0,0,0,0,0,3.0,1.0,True,0.0027151836548000574,0.94983935
1827,1,Non-White,1,0,0,0,5,0.0,2.0,False,0.003549338784068823,0.9173748
4580,0,Non-White,1,0,6,5,17,1.0,113.0,False,0.0035902587696909904,0.84082234
2899,1,Non-White,1,0,0,0,5,0.0,1.0,False,0.003750856500118971,0.89400774
1449,1,Non-White,1,0,0,0,5,0.0,1.0,False,0.003750856500118971,0.9173748
6033,1,Non-White,0,0,0,0,1,6.0,5.0,True,0.0038749794475734234,0.6721037
480,1,White,1,0,0,0,5,0.0,0.0,False,0.00395066337659955,0.7705417
4702,1,White,1,0,0,0,5,0.0,0.0,False,0.00395066337659955,0.7705417
1571,1,Non-White,1,0,0,0,10,7.0,5.0,True,0.003972087055444717,0.5955156
5642,1,White,0,0,0,1,0,1.0,1.0,False,-0.003998332656919956,0.8650048
