,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree
6013,1,Non-White,0,0,0,0,1,1.0,1.0,True
944,1,Non-White,0,0,0,0,1,1.0,266.0,False
3665,1,Non-White,0,0,0,2,1,1.0,1.0,False
2259,1,White,0,0,0,1,2,1.0,13.0,True
3847,1,Non-White,1,0,0,0,0,0.0,40.0,False
4591,1,Non-White,0,0,0,0,5,1.0,1.0,True
5076,1,Non-White,0,0,0,0,1,0.0,0.0,False
5022,1,Non-White,0,0,0,0,1,23.0,1.0,True
6000,0,White,1,0,0,0,3,1.0,35.0,False
979,0,Non-White,0,0,0,0,0,0.0,2.0,False
549,1,White,1,0,0,0,2,13.0,5.0,False
4695,1,Non-White,0,0,0,0,2,1.0,1.0,False
2304,1,White,1,0,0,0,7,1.0,194.0,False
5057,1,White,1,0,0,0,1,22.0,1.0,True
931,0,Non-White,1,2,0,0,18,1.0,1.0,True
3199,1,Non-White,1,0,0,0,9,1.0,5.0,False
2893,0,Non-White,1,0,0,0,11,1.0,1.0,False
4461,1,Non-White,1,0,0,0,0,1.0,1.0,True
1058,1,Non-White,0,0,0,0,0,1.0,35.0,False
1057,1,Non-White,0,0,0,0,0,1.0,1.0,False
1801,1,Non-White,1,0,0,0,4,1.0,1.0,False
442,1,Non-White,0,0,0,0,0,0.0,0.0,False
1484,1,White,1,0,0,0,1,1.0,1.0,False
653,1,Non-White,0,0,0,0,1,1.0,3.0,True
6154,1,Non-White,1,0,0,0,8,0.0,62.0,True
3646,1,White,0,0,0,0,2,0.0,2.0,False
5545,1,Non-White,0,0,0,0,0,2.0,1.0,False
5183,1,Non-White,0,0,0,0,1,1.0,4.0,False
1185,0,Non-White,1,0,0,0,14,1.0,5.0,False
3479,1,Non-White,0,0,0,0,0,1.0,1.0,False
1643,0,Non-White,0,0,0,0,8,0.0,0.0,False
4701,1,Non-White,1,0,0,0,7,1.0,1.0,False
2194,1,Non-White,0,0,0,2,0,1.0,13.0,False
1356,0,Non-White,0,0,2,1,8,1.0,1.0,False
463,1,Non-White,1,0,0,0,1,0.0,0.0,True
987,0,Non-White,0,0,0,0,7,0.0,1.0,False
2341,0,Non-White,0,0,1,1,9,1.0,2.0,True
4679,0,Non-White,0,0,0,0,4,1.0,1.0,False
2103,1,Non-White,1,0,0,0,7,1.0,2.0,False
1882,1,Non-White,0,0,0,1,0,1.0,1.0,False
6084,1,Non-White,0,0,0,1,1,0.0,1.0,False
2931,1,White,1,0,0,0,0,1.0,2.0,True
5472,1,Non-White,1,0,0,0,4,1.0,1.0,False
3196,1,Non-White,1,0,0,0,5,1.0,4.0,False
2912,1,White,1,0,0,0,10,1.0,41.0,False
2321,1,Non-White,1,0,0,0,1,21.0,10.0,True
477,1,Non-White,0,0,0,0,0,0.0,1.0,True
4233,0,Non-White,1,0,0,0,6,1.0,1.0,False
4182,0,Non-White,1,0,0,0,13,1.0,2.0,False
2116,1,White,0,0,0,0,2,18.0,15.0,True
3691,1,White,1,0,0,0,0,1.0,0.0,True
2844,0,Non-White,0,0,1,0,2,16.0,1.0,False
1780,1,Non-White,1,0,0,0,4,0.0,93.0,False
3203,1,Non-White,1,0,0,0,21,1.0,30.0,False
4510,0,White,0,0,0,0,0,0.0,0.0,False
4888,1,White,0,0,0,0,12,0.0,39.0,True
3670,1,Non-White,0,0,0,0,0,1.0,1.0,False
4716,1,Non-White,0,0,0,0,0,1.0,25.0,False
316,1,Non-White,1,0,0,0,1,12.0,4.0,False
430,1,Non-White,0,0,0,0,0,1.0,1.0,True
4813,1,Non-White,1,0,0,0,1,1.0,2.0,True
3276,1,Non-White,1,0,0,0,1,1.0,1.0,False
6062,0,Non-White,0,0,1,0,2,1.0,52.0,False
2744,1,Non-White,0,0,0,0,3,1.0,1.0,False
5454,0,Non-White,0,0,0,0,8,1.0,3.0,False
5473,1,Non-White,0,0,0,0,11,1.0,2.0,False
1658,1,Non-White,1,0,0,0,0,0.0,1.0,False
4558,1,Non-White,1,0,0,0,1,1.0,2.0,True
901,1,White,1,0,0,0,0,1.0,1.0,False
6096,1,White,0,0,0,0,1,3.0,3.0,False
5328,1,White,0,0,0,0,0,0.0,54.0,False
5150,1,Non-White,1,0,0,0,0,1.0,1.0,True
144,1,Non-White,0,0,0,0,0,1.0,0.0,False
62,1,Non-White,1,0,0,0,1,1.0,5.0,True
4061,1,White,0,0,0,0,0,1.0,2.0,False
2715,1,Non-White,0,0,0,0,2,1.0,1.0,False
5549,1,Non-White,0,0,0,0,1,0.0,0.0,False
3671,1,White,1,0,0,0,1,14.0,5.0,False
3582,1,Non-White,0,0,0,0,0,1.0,1.0,False
6040,1,Non-White,1,0,0,0,7,1.0,57.0,False
3035,0,Non-White,0,0,0,0,1,1.0,2.0,False
