,decile_score,Race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,days_in_jail,c_charge_degree
580,1,White,1,0,0,0,3,3.0,1.0,False
4308,1,Non-White,1,0,0,0,0,1.0,1.0,True
1983,1,Non-White,0,0,0,0,0,0.0,0.0,False
2348,1,White,0,1,0,0,2,1.0,1.0,False
3072,1,White,1,0,0,0,7,1.0,0.0,False
3496,1,Non-White,1,0,0,0,17,1.0,52.0,True
2066,1,White,1,0,0,0,0,1.0,74.0,False
2012,1,Non-White,0,0,0,0,6,0.0,1.0,False
2411,1,Non-White,0,0,0,0,1,27.0,1.0,True
1504,1,White,1,0,0,0,0,1.0,1.0,True
2211,1,White,1,0,0,0,0,1.0,1.0,False
1856,1,White,1,0,0,0,0,5.0,1.0,True
4512,0,Non-White,1,0,0,0,8,1.0,10.0,True
3380,1,White,1,0,0,0,2,1.0,1.0,False
5122,1,Non-White,0,0,0,0,5,1.0,3.0,False
3625,1,Non-White,1,0,0,0,5,1.0,1.0,False
2138,0,Non-White,0,0,0,0,5,1.0,32.0,True
5269,1,White,1,0,0,0,5,1.0,1.0,False
4161,1,White,1,0,0,0,0,1.0,1.0,True
2623,1,White,1,0,0,0,2,2.0,0.0,True
5984,1,Non-White,1,0,0,0,0,1.0,1.0,False
2654,1,Non-White,0,0,0,0,2,1.0,6.0,True
5109,1,White,1,0,0,0,2,1.0,1.0,False
10,1,Non-White,1,0,0,0,0,1.0,1.0,False
3476,0,Non-White,0,1,0,0,1,1.0,6.0,False
236,1,Non-White,0,0,0,0,0,1.0,1.0,False
4725,1,White,0,0,0,0,0,1.0,1.0,False
4787,1,Non-White,0,0,0,0,6,1.0,1.0,False
5954,1,Non-White,1,0,0,0,4,1.0,1.0,False
4852,1,White,1,0,0,0,1,1.0,3.0,True
4996,1,White,1,0,0,0,0,1.0,1.0,True
2836,1,White,1,0,0,0,2,28.0,27.0,False
1464,1,White,0,0,0,0,6,2.0,2.0,False
149,1,Non-White,0,0,0,0,6,1.0,1.0,True
184,1,White,1,0,0,0,0,1.0,1.0,True
4393,0,Non-White,0,0,5,1,27,0.0,0.0,True
4724,0,White,0,0,0,0,5,1.0,3.0,False
2241,1,Non-White,0,0,0,0,0,1.0,42.0,True
4142,1,Non-White,1,0,0,0,0,1.0,1.0,True
219,1,Non-White,0,0,0,0,1,1.0,1.0,True
4673,1,Non-White,1,0,0,0,5,1.0,2.0,False
6053,1,Non-White,0,1,0,1,1,3.0,5.0,False
4250,1,Non-White,1,0,0,0,0,1.0,2.0,False
3067,1,White,0,0,0,0,0,1.0,1.0,False
5387,1,Non-White,1,0,0,0,5,1.0,9.0,False
3399,1,Non-White,1,0,0,0,7,1.0,1.0,False
304,1,Non-White,1,0,0,0,1,0.0,95.0,False
1082,1,White,1,0,0,0,1,1.0,1.0,True
3725,1,White,0,0,0,0,4,1.0,30.0,False
729,1,White,0,0,0,0,0,0.0,0.0,False
1087,0,Non-White,0,0,0,0,5,1.0,7.0,False
6117,1,Non-White,0,0,0,0,2,1.0,1.0,True
2575,1,White,1,0,0,0,4,1.0,5.0,False
5164,1,Non-White,0,0,0,0,2,1.0,1.0,False
3736,1,Non-White,0,0,0,0,1,23.0,1.0,False
2426,1,White,1,0,0,0,1,1.0,33.0,False
3587,1,Non-White,1,0,0,0,9,1.0,65.0,False
1234,1,White,0,0,0,0,1,1.0,2.0,False
218,0,Non-White,0,0,0,0,0,3.0,1.0,True
2179,1,Non-White,0,0,0,0,6,1.0,5.0,True
2983,1,White,0,0,0,1,0,1.0,1.0,True
4226,1,Non-White,1,0,0,0,0,3.0,0.0,False
1213,1,Non-White,0,0,0,0,0,1.0,1.0,True
647,1,Non-White,1,0,0,0,0,0.0,0.0,False
5310,1,Non-White,0,0,0,0,0,0.0,1.0,True
3954,1,Non-White,1,0,0,0,0,1.0,280.0,False
1347,1,Non-White,0,0,0,0,1,1.0,1.0,False
4204,1,White,1,0,0,0,1,1.0,1.0,False
4354,1,Non-White,1,1,5,0,8,0.0,16.0,True
1458,1,White,1,0,0,0,0,0.0,0.0,True
5132,0,Non-White,1,0,0,0,22,0.0,2.0,False
633,0,Non-White,0,0,0,0,1,0.0,0.0,True
2340,1,White,1,0,0,0,1,3.0,1.0,False
1887,1,Non-White,1,0,0,0,10,1.0,10.0,False
3980,1,Non-White,0,0,0,0,0,1.0,1.0,False
377,1,White,0,0,0,0,0,1.0,1.0,True
4815,1,White,1,0,0,0,2,0.0,0.0,True
1759,0,Non-White,0,0,0,0,1,0.0,0.0,False
696,1,White,1,0,0,0,1,1.0,1.0,True
166,1,Non-White,1,0,0,0,2,0.0,26.0,True
5001,1,Non-White,1,0,0,0,0,1.0,2.0,True
1499,1,Non-White,0,0,0,0,0,1.0,1.0,True
5529,1,Non-White,1,0,0,0,4,1.0,3.0,False
1784,1,Non-White,1,0,0,0,1,0.0,1.0,False
4125,1,White,1,0,0,0,2,3.0,2.0,True
3147,1,White,1,0,0,0,5,1.0,6.0,True
510,0,Non-White,0,0,0,0,11,0.0,0.0,False
1526,0,Non-White,1,0,1,0,12,1.0,10.0,False
894,0,Non-White,1,0,0,0,0,1.0,2.0,False
1861,0,Non-White,1,0,0,0,14,1.0,1.0,False
2232,1,Non-White,0,0,0,0,0,1.0,2.0,True
686,0,Non-White,0,0,0,0,17,4.0,4.0,False
4167,0,Non-White,0,0,0,0,8,0.0,0.0,True
2932,0,Non-White,0,2,1,1,3,22.0,1.0,False
2052,1,Non-White,1,0,0,0,0,1.0,1.0,False
4297,1,Non-White,0,0,0,0,7,1.0,1.0,False
2765,0,Non-White,1,0,0,0,3,1.0,1.0,False
3724,1,Non-White,1,0,0,0,3,1.0,2.0,True
1423,1,Non-White,1,0,0,0,0,1.0,4.0,False
4474,0,Non-White,1,4,0,0,12,1.0,1.0,False
3082,1,Non-White,1,0,0,0,0,1.0,4.0,False
5113,1,Non-White,1,0,0,0,2,0.0,1.0,True
4497,1,Non-White,0,0,0,0,1,1.0,2.0,True
2466,1,White,0,0,0,0,0,2.0,1.0,False
4999,1,White,1,0,0,0,1,0.0,0.0,False
2067,1,White,1,0,0,0,1,0.0,293.0,False
2778,1,White,0,0,0,0,4,1.0,1.0,True
837,0,Non-White,0,0,0,0,6,1.0,40.0,False
2845,0,Non-White,1,5,0,0,10,1.0,5.0,False
831,1,Non-White,0,0,0,0,1,18.0,1.0,True
5177,0,Non-White,0,0,0,0,0,1.0,54.0,True
3457,1,White,1,0,0,0,6,1.0,119.0,False
924,1,Non-White,0,0,0,2,1,0.0,0.0,True
1341,1,Non-White,1,0,0,0,2,1.0,2.0,True
322,1,Non-White,1,0,0,0,2,1.0,5.0,False
4562,1,Non-White,1,0,0,0,4,0.0,0.0,True
5811,1,White,1,0,0,0,0,1.0,1.0,False
1119,1,Non-White,1,0,0,0,3,21.0,14.0,False
2108,1,White,1,0,0,0,0,0.0,0.0,True
